code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040174],(26.04.2006),"Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?",,Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.,"Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.",Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.
[06050434],(18.05.2006),Co se rozumí aktivní bezpečností vozidla?,,Vlastnosti vozidla minimalizující příčiny vzniku dopravní nehody.,Vlastnosti vozidla minimalizující škody v průběhu dopravní nehody.,Vlastnosti vozidla minimalizující následky dopravní nehody po jejím vzniku.
[06050435],(18.05.2006),Co se rozumí pasivní bezpečností vozidla?,,Souhrn vlastností vozidla minimalizujících škody v průběhu dopravní nehody.,Souhrn vlastností vozidla minimalizujících příčiny vzniku dopravní nehody.,Souhrn vlastností vozidla vylučujících následky dopravní nehody.
[06050436],(18.05.2006),Mezi prvky pasivní bezpečnosti patří:,,Zádržné systémy.,Účinný brzdový systém.,Aerodynamická stabilita.
[06050437],(18.05.2006),Airbagy:,,Plní svou funkci pouze při řádném užití zádržných systémů .,Plně nahrazují funkci bezpečnostních pásů i jiných zádržných systémů.,Plní svou funkci pouze ve vozidlech vybavených systémem ABS.
[06050438],(18.05.2006),Pohon všech kol zajišťuje automobilu zejména:,,Zlepšení jízdních vlastností za zhoršených adhezních podmínek.,Lepší akceleraci a snazší dosažení maximální rychlosti.,Snížení spotřeby paliva při současném zlepšení jízdních vlastností.
[06050439],(18.05.2006),Přípojné vozidlo je:,,Přívěs i návěs.,Pouze přívěs.,Pouze návěs.
[06050440],(18.05.2006),Mezi prvky aktivní bezpečnosti patří:,,Dobrý výhled z vozidla.,Airbag.,Deformovatelná příď.
[06050442],(18.05.2006),Mezinárodní silniční doprava je:,,"Doprava, při níž místo výchozí a místo cílové leží na území dvou různých států, nebo doprava, při níž místo výchozí a cílové sice leží na území téhož státu, ale část jízdy se uskuteční na území jiného státu.","Doprava, při které je dopravcem užito vozidlo s registrační značkou cizího státu, který není členem Evropských společenství.","Doprava, při níž mají dopravce a zasílatel bydliště nebo sídlo ve dvou různých státech."
[06050444],(18.05.2006),Při výměně pravého předního kola nákladního vozidla se nejlépe zabrání nežádoucímu pohybu vozidla:,,"Zajištěním levého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem.",Zajištěním levého předního kola zakládacím klínem před kolem při současném zajištění kteréhokoliv zadního kola zakládacím klínem za kolem.,"Zajištěním pravého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem."
[06050445],(18.05.2006),"Může řidič motocyklu přepravovat osobu, která nedosáhne nohama na stupačky?",,Nesmí.,"Ano, ale jen v obci.","Může, pokud je přepravované osobě více než 12 let."
[06050462],(18.05.2006),Jak při výměně pravého předního kola nejlépe zajistíte vozidlo před nežádoucím pohybem:,,"Levé zadní kolo se zajistí dvěma zakládacími klíny, jedním klínem před kolem a jedním za kolem.",Před levé přední kolo a před libovolné zadní kolo se dá po jednom zakládacím klínu.,Zakládací klín se dá před levé přední kolo.
[06050464],(18.05.2006),Kdy je efektivní používat tempomat?,,Pokud dopravní situace umožní jízdu stejnoměrnou rychlostí.,Jen ve stoupání nebo klesání.,Jen při vysokých rychlostech.
[06050468],(18.05.2006),"Pokud kontrolka směrových světel bliká výrazně rychleji než obvykle, může být příčinou:",,Závada na některé ze žárovek směrových světel.,Závada na přepínači směrových světel.,Závada na startéru vozidla.
[06050472],(18.05.2006),Za jízdy na motocyklu je řidič povinen:,,Mít na hlavě nasazenou a řádně připevněnou ochrannou přílbu schváleného typu.,"Nosit ochranný oděv, například koženou kombinézu.",Používat pouze kožené plné boty.
[06050473],(18.05.2006),Řidič motocyklu nebo mopedu si za jízdy musí chránit zrak:,,"Vhodným způsobem, například brýlemi nebo štítem, pokud tím není snížena bezpečnost jízdy.","Pouze při zhoršených povětrnostních podmínkách, například za deště nebo sněžení.",Pouze za ostrého slunce slunečními brýlemi s ochranným UV faktorem.
[06050476],(18.05.2006),"Může být schopnost k řízení vozidla ovlivněna i po požití malého množství alkoholu, např. půl litru desetistupňového piva?",,"Ano, i malé množství požitého alkoholu snižuje schopnost k řízení motorového vozidla.","Ne, pokud se alkohol pije zároveň s černou kávou.","Ne, malé množství požitého alkoholu neovlivňuje schopnost k řízení motorového vozidla."
[06050480],(18.05.2006),Při jízdě v obci se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,,"Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
[06050485],(21.05.2006),Řidič nesmí přepravovat na druhém sedadle motocyklu:,,Osobu mladší 12 let.,Osobu mladší 15 let.,Osobu mladší 17 let.
[06050489],(21.05.2006),Moped:,,Se nesmí vléci ani užít jako vlečné vozidlo.,"Se nesmí vléci, smí se však užít jako vlečné vozidlo.","Se smí vléci, nesmí se však užít jako vlečné vozidlo."
[06050491],(21.05.2006),Motocykl s postranním vozíkem:,,Se smí vléci i užít jako vlečné vozidlo.,"Se nesmí vléci, smí se však užít jako vlečné vozidlo.","Se smí vléci, nesmí se však užít jako vlečné vozidlo."
[06050492],(18.05.2006),Jaké důsledky mohou mít síly působící na náklad při průjezdu zatáčkou?,,Nedostatečně upevněný náklad se může v zatáčce vysypat nebo posunout.,V zatáčce získává vozidlo větší stabilitu v důsledku vyšší hmotnosti.,Průjezd zatáčkou nemá žádný vliv na náklad.
[06050495],(21.05.2006),Čím je rychlost jízdy motocyklu vyšší:,,Tím více musí být v zatáčce motocykl naklopen.,Tím lépe lze projíždět zatáčky o malém poloměru.,Tím více v zatáčkách natáčíme řídítka.
[06050496],(18.05.2006),Při jízdě se před Vaším vozidlem zpoza parkujících aut náhle objeví kutálející se míč. Jak byste měli reagovat?,,"Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
[06050498],(21.05.2006),Motocykl bez postranního vozíku:,,Se nesmí vléci ani užít jako vlečné vozidlo.,"Se nesmí vléci, smí se však užít jako vlečné vozidlo.","Se smí vléci, nesmí se však užít jako vlečné vozidlo."
[06050499],(19.05.2006),Na dálnici musíte počítat se silným bočním větrem především:,,Na mostech.,V podjezdech.,Mezi protihlukovými stěnami.
[06050500],(21.05.2006),Jaká je možná příčina vzniku nebezpečí pádu motocyklu v zatáčkách?,,Olej na vozovce.,Svislé dopravní značení.,Zvýšený okraj na vnější straně vozovky.
[06050501],(19.05.2006),Na dálnici musíte počítat se silným bočním větrem především:,,V otevřeném terénu.,V lesních úsecích.,Mezi protihlukovými stěnami.
[06050503],(21.05.2006),Jaká je častá příčina vzniku nebezpečí pádu motocyklu v zatáčkách?,,Vodorovné dopravní značení.,Snížená krajnice vozovky.,Zvýšený okraj na vnější straně vozovky.
[06050504],(21.05.2006),Za minimální bezpečnou vzdálenost mezi za sebou jedoucími vozidly je zpravidla považován:,,Časový rozestup dvou sekund.,Časový rozestup pěti sekund.,Časový rozestup tři čtvrtě sekundy.
[06050507],(21.05.2006),Při jízdě v obytné zóně se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,,"Okamžitě začít brzdit, protože na vozovku za míčem mohou vběhnout děti.","Pokračovat v jízdě, protože děti vědí, že mají zůstat stát mimo vozovku a počkat, až auto přejede.","Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
[06050509],(18.05.2006),"Jaké důsledky mohou mít síly působící při průjezdu zatáčkou na větší náklad, který přepravujete na střešním nosiči zavazadel vozidla?",,"Na náklad působí odstředivá síla, takže se může vysypat nebo posunout.","V zatáčce získává vozidlo větší stabilitu, protože náklad snižuje těžiště vozidla.","Průjezd zatáčkou nemá žádný vliv na náklad, nemění se těžiště ani jízdní vlastnosti vozidla."
[06050511],(21.05.2006),Při zapojování vozidel do soupravy:,,Nejprve zapojíme závěsné zařízení a potom zásuvku elektrického spojovacího zařízení.,Nejprve zapojíme zásuvku elektrického spojovacího zařízení a potom závěsné zařízení.,Není důležité pořadí úkonů.
[06050512],(21.05.2006),Brzdná dráha jízdní soupravy složené z motorového vozidla a brzděného přívěsu je v porovnání s brzdnou drahou samotného motorového vozidla:,,Delší.,Kratší.,Stejná.
[06050513],(21.05.2006),Brzdná dráha jízdní soupravy s brzděným přívěsem je v porovnání s brzdnou drahou soupravy s nebrzděným přívěsem o stejné hmotnosti:,,Kratší.,Delší.,Stejná.
[06050517],(21.05.2006),Zvýšené riziko ztráty přilnavosti pneumatik a následného smyku za deště hrozí:,,V úseku s vyjetými kolejemi.,Na silnicích nižší třídy.,Na vozovce s betonovým povrchem.
[06050518],(11.05.2006),Prodleva brzd:,,Brzdnou dráhu prodlužuje.,Brzdnou dráhu neovlivňuje.,Brzdnou dráhu zkracuje.
[06050520],(19.05.2006),"Vozidlo, které přepravuje nebezpečný náklad:",,"Musí být označeno oranžovými výstražnými panely, které odpovídají předpisům.",Musí být označeno zvláštním výstražným světlem žluté barvy.,"Nemusí být označeno, stačí jen prohlášení odesílatele o zboží, které má u sebe řidič vozidla."
[06050522],(21.05.2006),Přetáčivý smyk u vozidla s pohonem zadních kol a manuální převodovkou budete řešit:,,"Sešlápnutím spojkového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.","Sešlápnutím brzdového pedálu a natočením volantu směrem, kterým se pohybuje zadní část vozidla.","Sešlápnutím pedálu akcelerátoru a natočením volantu směrem, kterým se pohybuje zadní část vozidla."
[06050523],(22.05.2006),Přilnavost mezi pneumatikou a povrchem vozovky je závislá na:,,"Huštění pneumatiky, hloubce jejího dezénu a druhu povrchu vozovky.",Huštění pneumatiky a hloubce jejího dezénu. Druh povrchu vozovky nemá výraznější vliv na přilnavost.,Druhu povrchu vozovky. Huštění a hloubka dezénu pneumatiky výrazně přilnavost neovlivňují.
[06050605],(28.05.2006),Při dvojnásobném zvýšení rychlosti působí na řidiče i motocykl v zatáčce:,,Přibližně čtyřnásobná odstředivá síla.,Přibližně dvojnásobná odstředivá síla.,"Odstředivá síla, která se nemění."
[06050631],(29.05.2006),Na co je třeba dbát při nakládání sypkého materiálu?,,Zatížení nákladové plochy musí být rovnoměrné.,"Sypký materiál by měl být naložen pokud možno co nejdále dozadu, aby se zvýšilo zatížení zadní poháněné nápravy.",Náklad je třeba umístit jen do středu ložné plochy.
[06060154],(12.06.2006),"Když zvýšíte rychlost jízdy na dvojnásobek (např. z 50 km/h na 100 km/h), prodlouží se tím brzdná dráha Vašeho vozidla na suché vozovce:",,Přibližně na čtyřnásobek délky původní brzdné dráhy.,Přibližně na dvojnásobek délky původní brzdné dráhy.,Přibližně na trojnásobek délky původní brzdné dráhy.
