code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040193],(31.12.2015),"Jak se zachováte v místě, kde je tato výstražná dopravní značka?",/Vestnik/GetImageQuestion/0038.jpg,"Přizpůsobím jízdu tomu, že se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran","Nezměním způsob jízdy ani chování, protože není důvod očekávat změnu dopravní situace.","Zvýším rychlost jízdy, abych byl co nejrychleji z místa zúžení."
[06040194],(03.01.2016),Tato dopravní značka označuje:,/Vestnik/GetImageQuestion/P2_6328164310901.gif,Hlavní pozemní komunikaci,Vedlejší pozemní komunikaci.,Konec hlavní pozemní komunikace.
[06050074],(07.05.2006),Vyobrazená dopravní značka:,/Vestnik/GetImageQuestion/C5a_6327828831158_6328260602360.gif,Přikazuje řidiči motorového vozidla o třech a více kolech pokračovat v jízdě až po nasazení sněhových řetězů na nejméně dvě hnací kola.,Doporučuje řidiči motorového vozidla o třech a více kolech pokračovat v jízdě až po nasazení sněhových řetězů.,Zakazuje vjezd vozidlům s nasazenými sněhovými řetězy.
[06050156],(31.12.2015),Tato značka upozorňuje na:,/Vestnik/GetImageQuestion/0041_6328287161868.swf.mp4,"Místo,kde se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran.","Místo, kde se vozovka oproti předcházejícímu úseku výrazně zužuje z jedné strany.","Místo, kde při souběžné jízdě platí střídavé řazení do jízdního proudu průběžného pruhu."
[06050200],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A11_6328330438753.jpg,"Upozorňuje na přechod pro chodce, který by řidič jinak neočekával a který není viditelný z dostatečné vzdálenosti.",Upozorňuje na místo nebo úsek pozemní komunikace s možností zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci.,"Upozorňuje na místo nebo úsek pozemní komunikace, v jejichž blízkosti se chodci často pohybují nebo shromažďují, přecházejí vozovku, nebo kde hrozí zvýšené nebezpečí jejich nenadálého vběhnutí do vozovky."
[06050201],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A8 _6328330430524.jpg,"Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.","Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla za ztížených povětrnostních podmínek, například za deště nebo sněžení."
[06050202],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A6a_6328330157071.jpg,"Upozorňuje na místo, kde se vozovka oproti předcházejícímu úseku výrazně zužuje, a to z obou stran.","Upozorňuje na místo, kde se vozovka oproti předcházejícímu úseku výrazně rozšiřuje, a to z obou stran.","Upozorňuje na místo, kde se snižuje počet jízdních pruhů a kde při souběžné jízdě platí střídavé řazení do jízdního proudu."
[06050203],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A10_6328330435820.jpg,"Upozorňuje na místo, kde je provoz na pozemní komunikaci řízen světelnými signály, které by řidič jinak neočekával, nebo které nejsou s ohledem na místní podmínky viditelné z dostatečné vzdálenosti.","Upozorňuje na železniční přejezd, který je vybaven přejezdovým zabezpečovacím zařízením, které by řidič jinak neočekával.","Upozorňuje na každou křižovatku, na které je provoz řízen světelnými signály."
[06050204],(31.12.2015),Tato dopravní značka:,/Vestnik/GetImageQuestion/A2b_6328330145246.jpg,"Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","Upozorňuje na zatáčku (směrový oblouk) vpravo, jehož bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
[06050205],(31.12.2015),Tato dopravní značka upozorňuje na místo nebo úsek pozemní komunikace:,/Vestnik/GetImageQuestion/A12_6328330440401.jpg,"V jejichž blízkosti se děti často pohybují nebo shromažďují, přecházejí vozovku, nebo kde hrozí zvýšené nebezpečí jejich nenadálého vběhnutí do vozovky.","S předpokladem zvýšeného výskytu chodců anebo častého přecházení chodců přes pozemní komunikaci v místě, kde není zřízen přechod pro chodce, např. v místě pro přecházení.",Kde se nachází zastávka autobusu přepravujícího děti a kde je řidič povinen dbát zvýšené opatrnosti vůči nebezpečí jejich nenadálého vběhnutí do vozovky.
