code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040205],(26.04.2006),Můžete při vjíždění na tramvajový pás omezit v jízdě tramvaj?,/Vestnik/GetImageQuestion/0296_6328165245260.swf.mp4,Ne.,Ano.,
[06040243],(26.04.2006),Řidič vozidla z výhledu projede vyobrazenou křižovatkou jako:,/Vestnik/GetImageQuestion/0287_6328165135600.swf.mp4,První.,Druhý.,Třetí.
[06040252],(26.04.2006),Může řidič vozidla z výhledu vjet na železniční přejezd?,/Vestnik/GetImageQuestion/0091_6328165092978.swf.mp4,Ne.,Ano.,
[06040332],(26.04.2006),Jak se zachováte jako řidič vozidla z výhledu?,/Vestnik/GetImageQuestion/5003_6328164872718.swf.mp4,Dáte přednost červenému automobilu.,Projedete křižovatkou jako první.,Dáte přednost zelenému automobilu.
[06050022],(05.05.2006),Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:,/Vestnik/GetImageQuestion/5039_6328241250428.swf.mp4,"Musíte dát přednost v jízdě žlutému vozidlu, protože je na hlavní pozemní komunikaci, i zelenému vozidlu, protože odbočujete vlevo.",Máte přednost v jízdě před zeleným i žlutým vozidlem. Jako druhé projede křižovatkou žluté vozidlo a jako poslední zelené vozidlo.,"Musíte dát přednost v jízdě žlutému vozidlu, které přijíždí po hlavní pozemní komunikaci. Řidič zeleného vozidla musí dát přednost v jízdě vám."
[06050024],(05.05.2006),Jste řidičem vozidla z výhledu. Jaké chování očekáváte od řidiče zeleného vozidla?,/Vestnik/GetImageQuestion/5023_6328097089230.swf.mp4,Dá přednost v jízdě červenému vozidlu a projede křižovatkou jako druhý.,Projede křižovatkou jako první a nedává přednost v jízdě žádnému vozidlu.,"Dá přednost v jízdě vašemu vozidlu, které projede křižovatkou jako první."
[06050048],(05.05.2006),Jedete v obci jako řidič vozidla z výhledu. Je vaší povinností umožnit autobusu vyjetí ze zastávky?,/Vestnik/GetImageQuestion/5058a_6328243839710.swf.mp4,"Ano, a to snížením rychlosti jízdy nebo i zastavením vozidla.","Ne, protože autobus vyjíždí od okraje pozemní komunikace.","Ano, avšak pouze snížením rychlosti nebo změnou směru jízdy, nikoli zastavením vozidla."
[06050055],(06.05.2006),Jako řidič automobilu z výhledu projedete touto křižovatkou:,/Vestnik/GetImageQuestion/5001_6328096847516.swf.mp4,"Jako druhý, protože zelené vozidlo, které přijíždí zprava, má přednost v jízdě.","Jako první, protože zelené vozidlo, které přijíždí zprava, vám musí dát přednost v jízdě.","Jako první nebo druhý. Vozidla projíždějí křižovatkou v pořadí, v jakém k ní přijela."
[06050059],(06.05.2006),Ve vyobrazené dopravní situaci jste řidičem vozidla z výhledu. Na křižovatce:,/Vestnik/GetImageQuestion/5024_6328253930273.swf.mp4,Dáte přednost v jízdě červenému i zelenému vozidlu. Jako první projede křižovatkou červené vozidlo.,Máte přednost v jízdě před červeným vozidlem. Zelené vozidlo projede křižovatkou jako první.,Dáte přednost v jízdě zelenému i červenému vozidlu. Jako první projede křižovatkou zelené vozidlo.
[06050073],(07.05.2006),Jste řidičem vozidla z výhledu. Na vyobrazené křižovatce:,/Vestnik/GetImageQuestion/5006c_6328259883792.swf.mp4,Pojedete jako první. Po vás pojede zelené vozidlo a jako poslední červené nákladní vozidlo.,"Pojedete jako druhý, hned po zeleném vozidle, kterému musíte dát přednost v jízdě.",Pojedete jako poslední. Jako první pojede zelené vozidlo a po něm červené nákladní vozidlo.
