code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06050628],(09.10.2018),Provozovatel motocyklu přistaví tento motocykl k technické prohlídce nejpozději:,,Ve lhůtě 6 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 4 let.,Ve lhůtě 4 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.,Ve lhůtě 2 let po jeho prvním zaregistrování a potom pravidelně ve lhůtách 2 let.
[06060015],(01.06.2006),Historické vozidlo:,,Nelze provozovat na pozemních komunikacích za účelem podnikání a běžného denního užívání pro vlastní potřeby.,Nesmí být bez povolení Policie ČR provozováno na pozemních komunikacích.,Lze na pozemních komunikacích provozovat bez jakéhokoli omezení.
[06060086],(07.06.2006),"Zjistíme-li závady na brzdovém systému, které zjevně znemožňují účinně zastavit vozidlo a tím ohrožují bezpečnost provozu na pozemních komunikacích:",,"Vozidlo nesmí být užito k provozu na pozemních komunikacích, smí však být vlečeno na tyči.",Vozidlo lze provozovat na pozemních komunikacích na základě jednorázového povolení policie.,"S vozidlem lze přiměřenou rychlostí dojet jen do nejbližšího místa, kde lze závadu odstranit."
[06060087],(07.06.2006),Lhůta pro přistavení silničního vozidla k pravidelné technické prohlídce se počítá ode dne:,,Prvního zaregistrování silničního vozidla a potom vždy ode dne provedení pravidelné technické prohlídky.,Prodeje silničního vozidla a potom vždy ode dne úspěšného provedení pravidelné technické prohlídky.,Vyrobení silničního vozidla a potom vždy v pravidelných pětiletých lhůtách.
[06060088],(07.06.2006),"Vozidlo je technicky nezpůsobilé k provozu na pozemních komunikacích, pokud:",,Pro závady v technickém stavu bezprostředně ohrožuje bezpečnost provozu na pozemních komunikacích.,Do termínu příští pravidelné technické prohlídky zbývá méně než tři kalendářní měsíce.,Spotřeba pohonných hmot přesahuje limity stanovené výrobcem vozidla.
[06060091],(07.06.2006),"Nebrzděný přívěs, jehož přípustná hmotnost nepřevyšuje 750 kg a který nebyl dříve registrován v zahraničí, přistaví jeho provozovatel k technické prohlídce nejpozději ve lhůtě:",,6 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.,2 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 2 let.,4 let po zaregistrování tohoto přívěsu a potom pravidelně nejpozději ve lhůtách 4 let.
[06060094],(07.06.2006),K pohonu motorů vozidel se smí používat:,,Pouze pohonné hmoty předepsané výrobcem těchto motorů.,"Pohonné hmoty nesplňující požadavky na jakost, umožní-li spolehlivý provoz těchto motorů.",Pouze pohonné hmoty předepsané výrobcem těchto motorů nebo pohonné hmoty s nižším oktanovým číslem.
[06060251],(14.06.2006),Historickým vozidlem je:,,"Vozidlo, které je zapsáno v registru historických a sportovních vozidel a kterému byl vydán průkaz historického vozidla.","Vozidlo, které nesmí být použito k provozu na pozemních komunikacích.","Každé vozidlo, jehož konstrukce neodpovídá technickým požadavkům na nově vyráběná vozidla."
[06060252],(14.06.2006),Historickým vozidlem je:,,"Vozidlo, které je zapsáno v registru historických a sportovních vozidel a kterému byl vydán průkaz historického vozidla.",Každé vozidlo starší než 15 let.,Každé vozidlo starší než 20 let.
[06060265],(15.06.2006),"Provozovatel osobního automobilu, který nebyl dříve registrován v zahraničí, přistaví tento automobil k technické prohlídce nejpozději ve lhůtě:",,4 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 2 let.,4 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 4 let.,2 let po prvním zaregistrování tohoto automobilu a potom pravidelně ve lhůtách 4 let.
[06060427],(16.06.2006),Na téže nápravě musí být používány:,,"Pouze shodné pneumatiky, přičemž shodnou pneumatikou se rozumí pneumatika stejného rozměru, konstrukce, druhu dezénu a značky.",Pneumatiky stejného rozměru a značky.,Pneumatiky stejného rozměru bez ohledu na homologaci a typ dezénu.
[06060428],(16.06.2006),Používání pneumatik s protiskluzovými hroty:,,"Je zakázáno pro všechna vozidla, s výjimkou vozidel záchranné služby.",Je povoleno pouze v zimním období.,Je povoleno pouze v zimním období a jen v horských oblastech.
[06060429],(16.06.2006),Činná plocha pláště pneumatiky v provozu musí mít po celém obvodu a v celé šíři vrchního běhounu jasně viditelný dezén s hloubkou hlavních dezénových drážek:,,"U mopedů nejméně 1,0 mm a u vozidel ostatních kategorií nejméně 1,6 mm.","U všech vozidel nejméně 1,0 mm.","U osobních vozidel 1,5 mm a u nákladních vozidel 2,0 mm."
[06060431],(16.06.2006),Nová přípojná vozidla za osobní automobil:,,Podléhají registraci.,Nepodléhají registraci.,Podléhají registraci pouze na žádost jejich vlastníka.
[06060432],(16.06.2006),Nově registrovaná přípojná vozidla:,,Mají po zaregistrování svou přidělenou registrační značku.,Mají registrační značku shodnou s tažným vozidlem.,Nemusí mít žádnou registrační značku.
[06060434],(16.06.2006),Jiná než předepsaná nebo povolená světelná zařízení:,,Nesmí být na vozidle použita.,"Smí být na vozidle použita pouze za předpokladu, že jejich užití nebude obtěžovat ostatní účastníky provozu na pozemních komunikacích.",Smí být použita pouze při tuningové úpravě vozidla.
[06060439],(16.06.2006),Okamžitá hmotnost jízdní soupravy:,,Nesmí být větší než největší povolená hmotnost jízdní soupravy stanovená při schválení technické způsobilosti tažného vozidla.,Může být větší než největší povolená hmotnost jízdní soupravy stanovená při schválení technické způsobilosti tažného vozidla.,"Může být libovolná, nesmí však překročit limity stanovené prováděcí vyhláškou."
