code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040230],(26.04.2006),Pojištění odpovědnosti z provozu vozidla se vztahuje na:,,"Každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.","Vlastníka vozidla, který odpovídá za škodu způsobenou provozem vozidla. Na ostatní uživatele vozidla se toto pojištění nevztahuje.","Vlastníka vozidla při účasti na organizovaném motoristickém závodu, kde řidič není povinen dodržovat pravidla o provozu na pozemních komunikacích."
[06040232],(26.04.2006),Provozovatel motorového	vozidla odpovídá:,,Za škodu vyvolanou zvláštní povahou provozu motorového vozidla.,"Pouze za škodu, která byla vyvolána porušením jeho právních povinností.","Pouze za škodu, která byla vyvolána porušením povinností řidiče tohoto vozidla."
[06050037],(05.05.2006),Podmínky pro udělení příslušného řidičského oprávnění musí osoba splňovat:,,Po celou dobu držení tohoto řidičského oprávnění.,Pouze v okamžiku udělení tohoto řidičského oprávnění.,Pouze v okamžiku udělení tohoto řidičského oprávnění nebo při přezkoušení z odborné způsobilosti.
[06050109],(09.05.2006),Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny D:,,"Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 7.500 kg.","Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 7.900 kg.","Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 12.000 kg."
[06050116],(09.05.2006),Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny D:,,"Motorové vozidlo s padesáti místy k sezení, jehož maximální přípustná hmotnost je 14.800 kg.","Motorové vozidlo se třemi místy k sezení, jehož maximální přípustná hmotnost je 15.500 kg.",Motocykl s postranním vozíkem o objemu válců 498 cm3 a výkonu 37 kW.
[06050117],(09.05.2006),"S řidičským oprávněním skupiny D smíte řídit jízdní soupravu za předpokladu, že k motorovému vozidlu, k jehož řízení řidičské oprávnění skupiny D opravňuje, připojíte:",,Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 750 kg.,Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 1.000 kg.,Přípojné vozidlo o maximální přípustné hmotnosti nepřevyšující 1.250 kg.
[06050118],(09.05.2006),"Řídit motorové vozidlo určené pro přepravu osob, s dvaceti místy k sezení, jehož maximální přípustná hmotnost je 8.000 kg, pouze na základě řidičského oprávnění skupiny C:",,Nesmíte.,"Smíte, a to bez omezení.","Smíte, pokud počet přepravovaných osob nepřekročí 8 osob."
[06050127],(09.05.2006),Které z následujících motorových vozidel nesmíte řídit s řidičským oprávněním skupiny C:,,"Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 7.500 kg.","Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 12.000 kg.","Motorové vozidlo určené pro přepravu nákladu, se třemi místy k sezení, jehož maximální přípustná hmotnost je 7.900 kg."
[06050130],(09.05.2006),Které z následujících motorových vozidel smíte řídit na základě řidičského oprávněním skupiny C:,,"Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 8.000 kg.","Motorové vozidlo určené pro přepravu osob, s patnácti místy k sezení, jehož maximální přípustná hmotnost je 7.850 kg, v němž je v danou chvíli přepravováno pět osob.","Motorové vozidlo určené pro přepravu osob, s dvanácti místy k sezení, jehož maximální přípustná hmotnost je 7.550 kg."
[06050342],(18.05.2006),Pojištění odpovědnosti z provozu vozidla se vztahuje:,,"Na každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.",Na škodu způsobenou pouze provozovatelem tohoto vozidla a jeho rodinnými příslušníky.,Na škodu způsobenou výlučně provozovatelem tohoto vozidla.
[06050425],(18.05.2006),Policista smí řidiči na místě zadržet řidičský průkaz:,,Pouze v případech daných zákonem.,Kdykoli.,"Pouze v případě, že řidič požil před jízdou alkohol nebo jinou návykovou látku."
[06050429],(18.05.2006),Zdravotně způsobilý k řízení motorových vozidel není ten:,,Kdo má podle posudku o zdravotní způsobilosti poruchy chování způsobené závislostí na alkoholu nebo jiných psychoaktivních látkách.,Kdo je v pracovní neschopnosti.,Kdo je osobou těžce postiženou nebo těžce pohybově postiženou anebo osobou sluchově postiženou
[06050430],(18.05.2006),"Ten, kdo se v rozporu se zákonem nepodrobil pravidelné lékařské prohlídce a není proto držitelem platného posudku o zdravotní způsobilosti:",,Je zdravotně nezpůsobilý k řízení motorových vozidel.,"Je zdravotně způsobilý k řízení motorových vozidel do doby, než se pravidelné lékařské prohlídce podrobí, nejdéle však po dobu šesti měsíců.",Ztrácí řidičské oprávnění.
[06050431],(18.05.2006),"Od řidiče motorového vozidla podezřelého ze spáchání přestupku proti bezpečnosti a plynulosti provozu na pozemních komunikacích, u kterého je důvodné podezření, že se bude vyhýbat přestupkovému řízení, je oprávněn vybrat kauci:",,Policista.,Policista a strážník obecní policie.,"Policista, strážník obecní policie a celník ve stejnokroji."
[06050601],(28.05.2006),Řidičský průkaz:,,Nesmí být ponecháván a přijímán jako zástava a odebírán při vstupu do objektů nebo na pozemky.,"Smí být ponecháván a přijímán jako zástava, ale nesmí být odebírán při vstupu do objektů nebo na pozemky.","Smí být odebírán při vstupu do objektů nebo na pozemky, ale nesmí být ponecháván ani přijímán jako zástava."
[06060011],(05.06.2006),Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení poškození řidičského průkazu:,,"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.",Mezinárodní řidičský průkaz.,Duplikát řidičského průkazu.
[06060012],(05.06.2006),"Řidičský průkaz je neplatný, jestliže:",,Uplynula doba jeho platnosti.,Byl jeho držiteli vystaven mezinárodní řidičský průkaz.,Byl řidiči pro porušení zákona zadržen policistou.
[06060016],(05.06.2006),Mezinárodní řidičský průkaz:,,Vydá držiteli řidičského oprávnění příslušný obecní úřad obce s rozšířenou působností na základě jeho žádosti.,Vydá obecní úřad obce s rozšířenou působností vždy společně s řidičským průkazem.,Vydá příslušný útvar dopravní policie vždy společně s řidičským průkazem.
[06060017],(05.06.2006),Mezinárodní řidičský průkaz vydaný Českou republikou:,,Neopravňuje k řízení motorových vozidel na území České republiky.,"Opravňuje k řízení motorových vozidel na území České republiky pouze v případě, že držitel nahlásil odcizení, zničení nebo ztrátu svého řidičského průkazu a doposud mu nebyl vydán nový.",Opravňuje k řízení motorových vozidel na území České republiky.
[06060019],(05.06.2006),"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:",,Platí 30 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.,Platí 60 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.,Platí 90 dní ode dne jeho vydání a po tuto dobu nahrazuje držiteli řidičského oprávnění řidičský průkaz.
[06060020],(05.06.2006),Zničení řidičského průkazu je držitel řidičského oprávnění povinen:,,Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.,Neprodleně ohlásit příslušnému útvaru dopravní policie.,Neprodleně ohlásit příslušnému útvaru obecní policie.
[06060021],(05.06.2006),"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu:",,Platí pouze na území České republiky.,Platí na území České republiky a ostatních členských států Evropských společenství.,"Platí ve všech státech, ve kterých je uznáván český řidičský průkaz."
[06060022],(05.06.2006),Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení zničení řidičského průkazu:,,"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.",Mezinárodní řidičský průkaz.,Duplikát řidičského průkazu.
[06060023],(05.06.2006),Poškození řidičského průkazu je držitel řidičského oprávnění povinen:,,Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.,Neprodleně ohlásit příslušnému útvaru dopravní policie.,Neprodleně ohlásit příslušnému útvaru obecní policie.
[06060024],(05.06.2006),Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení ztráty řidičského průkazu:,,"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.",Mezinárodní řidičský průkaz.,Duplikát řidičského průkazu.
[06060025],(05.06.2006),Příslušný obecní úřad obce s rozšířenou působností vydá držiteli řidičského oprávnění bezodkladně po ohlášení odcizení řidičského průkazu:,,"Potvrzení o oznámení ztráty, odcizení, poškození nebo zničení řidičského průkazu.",Mezinárodní řidičský průkaz.,Duplikát řidičského průkazu.
[06060026],(05.06.2006),"Řidičský průkaz je neplatný, jestliže:",,"Jsou v něm neoprávněně provedeny zápisy, změny, opravy nebo úpravy.",Byl řidiči pro porušení zákona zadržen policistou nebo obecním úřadem obce s rozšířenou působností.,Je jeho držitel ve výkonu trestu odnětí svobody.
[06060027],(05.06.2006),"Řidičský průkaz je neplatný, jestliže:",,"Je poškozený tak, že záznamy v něm uvedené jsou nečitelné.",Je jakýmkoli způsobem poškozený (např. odřený či zprohýbaný).,"Byl jeho oprávněným držitelem, byť i jen dočasně, předán jiné osobě."
[06060028],(05.06.2006),"Řidičský průkaz je neplatný, jestliže:",,Údaje o řidičském oprávnění v něm uvedené neodpovídají skutečnosti.,Kterýkoli z údajů v něm zapsaných neodpovídá skutečnosti.,V něm není uveden údaj o nejbližším termínu pravidelné lékařské prohlídky.
[06060029],(05.06.2006),"Evidence údajů o řidičích je vedena v registru řidičů, jehož správcem je:",,Obecní úřad obce s rozšířenou působností.,Policejní prezidium České republiky.,Ministerstvo vnitra.
[06060030],(05.06.2006),Údaje z registru řidičů lze poskytnout:,,"Fyzickým osobám, pokud jde o údaje o nich vedené.","Všem fyzickým i právnickým osobám, které o to požádají, a to v rozsahu jejich žádosti.","Všem držitelům řidičského oprávnění, kteří o to požádají, a to v rozsahu jejich žádosti."
[06060031],(05.06.2006),Po dobu zadržení řidičského průkazu:,,Držitel řidičského oprávnění nesmí řídit motorové vozidlo.,Držitel řidičského oprávnění smí řídit motorová vozidla jen s písemným svolením příslušného útvaru dopravní policie.,Držitel řidičského oprávnění smí řídit motorová vozidla s platným mezinárodním řidičským průkazem.
[06060032],(05.06.2006),Odcizení řidičského průkazu je držitel řidičského oprávnění povinen:,,Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.,Neprodleně ohlásit příslušnému útvaru dopravní policie.,Neprodleně ohlásit příslušnému útvaru obecní policie.
[06060034],(05.06.2006),Ztrátu řidičského průkazu je držitel řidičského oprávnění povinen:,,Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.,Neprodleně ohlásit příslušnému útvaru dopravní policie.,Neprodleně ohlásit příslušnému útvaru obecní policie.
[06060035],(05.06.2006),"Změna údajů, které jsou zaznamenávány v řidičském průkazu, se příslušnému obecnímu úřadu obce s rozšířenou působností oznamuje nejpozději:",,"Do pěti pracovních dnů ode dne, kdy ke změně došlo.","Do patnácti pracovních dnů ode dne, kdy ke změně došlo.","Do dvaceti pracovních dnů ode dne, kdy ke změně došlo."
[06060036],(05.06.2006),"Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:",,"Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.","Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.","Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie."
[06060037],(05.06.2006),Změnu příjmení musí držitel řidičského průkazu oznámit příslušnému obecnímu úřadu obce s rozšířenou působností nejpozději:,,"Do pěti pracovních dnů ode dne, kdy ke změně došlo.","Do patnácti pracovních dnů ode dne, kdy ke změně došlo.","Do dvaceti pracovních dnů ode dne, kdy ke změně došlo."
[06060039],(05.06.2006),"Změnu příjmení musí držitel řidičského průkazu nejpozději do pěti pracovních dnů ode dne, kdy ke změně došlo, oznámit:",,Příslušnému obecnímu úřadu obce s rozšířenou působností.,Příslušnému útvaru dopravní policie.,Příslušnému útvaru obecní policie.
[06060040],(05.06.2006),"Změnu údajů, které jsou zaznamenávány v řidičském průkazu, je držitel řidičského průkazu povinen oznámit:",,"Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností.","Do pěti pracovních dnů ode dne, kdy ke změně došlo, příslušnému útvaru dopravní policie.","Do patnácti pracovních dnů ode dne, kdy ke změně došlo, příslušnému obecnímu úřadu obce s rozšířenou působností."
[06060041],(05.06.2006),Držitel řidičského oprávnění nesmí mít:,,Více než jeden platný řidičský průkaz.,Více než dva platné řidičské průkazy.,"Žádný řidičský průkaz, pokud mu byl vystaven mezinárodní řidičský průkaz."
[06060042],(05.06.2006),Držitel mezinárodního řidičského průkazu:,,"Nesmí v mezinárodním řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.","Smí v mezinárodním řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.","Smí v mezinárodním řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností."
[06060043],(05.06.2006),Držitel řidičského průkazu:,,"Nesmí v řidičském průkazu provádět žádné zápisy, změny, opravy nebo úpravy.","Smí v řidičském průkazu provádět pouze opravy údajů, u nichž je zřejmé, že jsou vyplněny chybně.","Smí v řidičském průkazu provádět jen nezbytné změny a opravy, pokud jejich provedení následující pracovní den nahlásí příslušnému obecnímu úřadu obce s rozšířenou působností."
[06060044],(05.06.2006),"Ztrátu, odcizení, poškození nebo zničení řidičského průkazu je držitel řidičského oprávnění povinen:",,Neprodleně ohlásit příslušnému obecnímu úřadu obce s rozšířenou působností.,Neprodleně ohlásit příslušnému útvaru dopravní policie.,Neprodleně ohlásit příslušnému útvaru obecní policie.
[06060271],(15.06.2006),Které z následujících motorových vozidel smíte řídit na základě řidičského oprávnění skupiny C?,,"Motorové vozidlo se šesti místy k sezení, jehož maximální přípustná hmotnost je 8.200 kg.","Motorové vozidlo s patnácti místy k sezení, jehož maximální přípustná hmotnost je 8.200 kg.","Motorové vozidlo s maximální přípustnou hmotností 4.500 kg, k němuž je připojeno přípojné vozidlo, jehož maximální přípustná hmotnost je 1.000 kg."
[06060272],(15.06.2006),Které z následujících motorových vozidel smíte řídit s řidičským oprávněním skupiny B?,,"Motorové vozidlo určené pro přepravu osob, s devíti místy k sezení včetně místa řidiče, jehož maximální přípustná hmotnost je 3.350 kg.","Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.","Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW, jehož konstrukční rychlost však přesahuje 45km/h."
[06060290],(15.06.2006),Řidič trolejbusu:,,Musí být držitelem řidičského oprávnění skupiny D.,Musí být držitelem řidičského oprávnění skupiny C.,Musí být držitelem řidičského oprávnění skupiny T.
[06060309],(15.06.2006),Držitelé řidičského oprávnění skupiny B mohou řídit:,,"Motorová vozidla s nejvýše 8 místy k sezení, kromě místa řidiče, pokud jejich maximální přípustná hmotnost nepřevyšuje 3 500 kg.","Jen motocykl bez postranního vozíku, který má výkon nejvýše 25kW.","Motorová vozidla s nejvýše 8 místy k sezení, kromě místa řidiče, a s  maximální přípustnou hmotností převyšující 3 500 kg."
[06060312],(15.06.2006),Které z následujících motorových vozidel smíte řídit na základě řidičského oprávněním skupiny C:,,"Motorové vozidlo určené pro přepravu nákladu, se dvěma místy k sezení, jehož maximální přípustná hmotnost je 3.700 kg.","Motorové vozidlo určené pro přepravu osob, s deseti místy k sezení, jehož maximální přípustná hmotnost je 3.350 kg.",Motocykl o objemu válců nepřesahujícím 125 cm3 a o výkonu nejvýše 11 kW.
[06060333],(15.06.2006),"Řidičské oprávnění skupiny D + E není třeba k řízení jízdní soupravy složené z motorového vozidla, k jehož řízení opravňuje řidičské oprávnění skupiny D, a přípojného vozidla:",,S maximální přípustnou hmotností nejvýše 750 kg.,S maximální přípustnou hmotností nejvýše 1.000 kg.,S maximální přípustnou hmotností nejvýše 1.500 kg.
[06060334],(15.06.2006),"Řidičské oprávnění skupiny C + E není třeba k řízení jízdní soupravy složené z motorového vozidla, k jehož řízení opravňuje řidičské oprávnění skupiny C, a přípojného vozidla:",,S maximální přípustnou hmotností nejvýše 750 kg.,S maximální přípustnou hmotností nejvýše 1.000 kg.,S maximální přípustnou hmotností nejvýše 1.500 kg.
