id,code,title,media,answer,firstWrong,secondWrong
180,06060386,Nemotorové vozidlo je:,,"A: Přípojné vozidlo a vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo, ruční vozík nebo potahové vozidlo.","B: Každé vozidlo poháněné jiným než spalovacím motorem, například elektromobil.","C: Kolejové vozidlo, které se účastní provozu na pozemních komunikacích."
187,06060380,Zastavit s vozidlem ve druhé řadě můžete jen tehdy:,,A: Zůstane-li volný alespoň jeden jízdní pruh o šířce nejméně 3 m.,B: Nelze-li s vozidlem ve vzdálenosti menší než 100 m zastavit při okraji pozemní komunikace.,C: Přepravujete-li osobu těžce postiženou nebo těžce pohybově postiženou.
195,06060392,Připojovací pruh je:,,C: Jízdní pruh určený pro zařazování vozidel do průběžného pruhu.,A: Jízdní pruh vyhrazený jen pro vozidla hromadné dopravy osob.,"B: Jízdní pruh určený pro pomalá vozidla, která nemohou v daném úseku dosáhnout okamžité rychlosti nejméně 60 km/h."
223,06060398,Je-li pro zařazování do průběžného jízdního pruhu zřízen připojovací pruh:,,A: Je řidič povinen před zařazením do průběžného pruhu užít připojovacího pruhu.,"B: Nemusí ho řidič před zařazením do průběžného pruhu užít, pokud přejetím do průběžného pruhu neomezí ani neohrozí ostatní řidiče.",C: Je řidič povinen před zařazením do průběžného jízdního pruhu dosáhnout rychlosti nejméně 80 km/h.
237,06050157,Řidič motorového vozidla o maximální přípustné hmotnosti nepřevyšující 3 500 kg a autobusu smí jet:,,B: Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1.,A: Na silnici pro motorová vozidla a na dálnici rychlostí nejvýše 130 km.h-1.,"C: Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1, s výjimkou řidiče autobusu, který na dálnici smí jet rychlostí nejvýše 110 km.h-1."
269,06050295,Tato dopravní značka:,./assets/151.gif,"A: Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vlevo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy.","B: Upozorňuje na místo nebo úsek pozemní komunikace, kde může dojít ke smyku vozidla i za neztížených povětrnostních podmínek.","C: Upozorňuje na dvě nebo více po sobě následujících zatáček (směrových oblouků), z nichž první je vpravo, a jejichž bezpečné projetí vyžaduje výrazné snížení rychlosti jízdy."
427,06060308,"Řidič nesmí připustit, aby počet přepravovaných osob starších 12 let překročil:",,A: Počet povolených míst určených k přepravě osob.,"B: Počet povolených míst určených k přepravě osob, jen pokud jsou vybavena zádržným bezpečnostním systémem.",C: Dvojnásobek počtu povolených míst určených k přepravě osob.
456,06060399,"V situaci na obrázku musí řidič při řízení zohlednit, že:",,"A: Je dopravní značkou předem upozorňován na přechod pro chodce, který bude následovat ve vzdálenosti 150 m.","B: Je dopravní značkou upozorňován na úsek o délce 150 m, kde lze očekávat zvýšený pohyb chodců.","C: Je dopravní značkou předem upozorňován na práci na silnici, která je vykonávána ve vzdálenosti 150 m."
476,06060408,Řidič vozidla z výhledu:,,C: Nesmí pokračovat v jízdě křižovatkou. Má za povinnost zastavit vozidlo před příčnou čárou souvislou.,"A: Může pokračovat v jízdě křižovatkou, dává znamení o změně směru včas a v dostatečné míře a je na hlavní pozemní komunikaci.","B: Může pokračovat v jízdě křižovatkou; je v dostatečné vzdálenosti od křižovatky a na světelném signalizačním zařízení již svítí signál ""Připravit k jízdě""."
479,06060393,"Jízdní pruh, do kterého hodlá přejet řidič vozidla z výhledu, se nazývá:",,B: Odbočovací pruh.,A: Připojovací pruh.,C: Průběžný pruh.
498,06060404,Jako řidič auta z výhledu v dané situaci:,,"A: Musíte zejména sledovat světelnou signalizaci a chování odbočujících řidičů v protisměru, i když Vám musejí dát přednost v jízdě.","B: Musíte sledovat světelnou signalizaci a chování odbočujících řidičů v protisměru, jimž musíte dát přednost v jízdě.",C: Musíte na příkaz dopravní značky odbočit vpravo.
509,06060502,Jste řidičem vozidla z výhledu. Ve vyobrazené dopravní situaci:,,"C: Smíte odbočit vlevo, ale musíte dát přednost chodcům přecházejícím ve volném směru po přechodu pro chodce.","A: Smíte odbočit vlevo, aniž byste někomu musel(a) dávat přednost.","B: Nesmíte odbočit vlevo, neboť zelený plný kruhový světelný signál ""Volno"" umožňuje projet křižovatku pouze v přímém směru."
