code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040213],(26.04.2006),Zraněný si po dopravní nehodě stěžuje na bolesti břicha a pocit žízně:,,Nepodáváme mu žádné nápoje.,Podáváme mu studené nápoje.,Podáváme mu dostatek vlažných nápojů.
[06050284],(16.05.2006),První pomoc je povinen poskytnout:,,"Každý, kdo tak může učinit bez nebezpečí pro sebe nebo jiného.","Jen ten, kdo prošel jakýmkoli zdravotnickým školením.","Každý, pokud již dosáhl věku 18 let."
[06060268],(15.06.2006),"Hrozí trestní postih, pokud neposkytnete první pomoc?",,"Ano, s možností nepodmíněného trestu odnětí svobody.","Ne, v žádném případě, je to moje vlastní vůle.",Podle závažnosti úrazu nebo postižení poraněného.
[09040010],(15.04.2009),Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:,,Přibližně 100 stlačení za minutu.,Přibližně 60 stlačení za minutu.,Přibližně 160 stlačení za minutu.
[09040014],(15.04.2009),Rychlou zdravotnickou záchranou službu přivoláme na telefonním čísle:,,155.,150.,158.
[09040018],(15.04.2009),Při úrazu hlavy nejvíce poraněného ohrožuje:,,Následné bezvědomí.,Viditelné krvácení.,Zlomeniny kostí lebky.
[10070001],(22.07.2010),Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:,,Přibližně 100 stlačení za minutu.,Přibližně 160 stlačení za minutu.,Přibližně 200 stlačení za minutu.
[10070002],(22.07.2010),"Jak budete postupovat u zraněného v bezvědomí, který nedýchá a opakovaně se Vám nedaří uvolnit jeho dýchací cesty:",,Zahájím srdeční masáž.,"Budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří.","Vzdám se jakékoliv dalších aktivit, protože jsou zbytečné."
[11020001],(01.02.2011),"Jak se zachováte při kolapsovém stavu, kdy postižený upadne a ztrácí vědomí?",,zvednu nohy postiženého a zajistím volné dýchací cesty,ihned zahájím resuscitaci,postiženého posadím a zavolám záchranou službu
[11020002],(01.02.2011),Kdy zahájíte zevní srdeční masáž:,,pokud je poraněný v hlubokém bezvědomí a nedýchá,jen pokud u poraněného nehmatám pulz,pokud masivně krvácí
[11020006],(01.02.2011),U dopravní nehody s poraněním voláme jako první:,,záchrannou službu (155),hasiče (150),policii (158)
[11020008],(09.09.2021),"Poraněný se po dopravní nehodě domáhá tekutin, jak se zachováte:",,nedám mu napít ani přes jeho naléhání,poskytnu mu tekutiny v neomezeném množství,mohu mu dát i najíst
[11020009],(01.02.2011),Při umělém dýchání z plic do plic u dospělého:,,"dýchám úplně normálně frekvencí 6-8 vdechů/min, bez extrémního nádechu a vdechu do poraněného",dýchám frekvencí alespoň 20 vdechů/min a vždy se snažím o co největší vdech,vdechuji do plic poraněného jen obsah vzduchu ve svých ústech
[11020010],(01.02.2011),"Jak budete postupovat, jste-li sami a opakovaně se Vám nedaří zajistit dýchací cesty:",,přeruším snažení po 3-4 pokusech a zahájím zevní srdeční masáž,"budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří",vzdám se jakékoliv další aktivity
[11020011],(01.02.2011),U poraněného v hlubokém bezvědomí a bezdeší nastávají nezvratné změny mozkové tkáně do:,,5 min.,10 min.,20 min.
