id,code,title,media,answer,firstWrong,secondWrong
187,06060380,Zastavit s vozidlem ve druhé řadě můžete jen tehdy:,,A: Zůstane-li volný alespoň jeden jízdní pruh o šířce nejméně 3 m.,B: Nelze-li s vozidlem ve vzdálenosti menší než 100 m zastavit při okraji pozemní komunikace.,C: Přepravujete-li osobu těžce postiženou nebo těžce pohybově postiženou.
223,06060398,Je-li pro zařazování do průběžného jízdního pruhu zřízen připojovací pruh:,,A: Je řidič povinen před zařazením do průběžného pruhu užít připojovacího pruhu.,"B: Nemusí ho řidič před zařazením do průběžného pruhu užít, pokud přejetím do průběžného pruhu neomezí ani neohrozí ostatní řidiče.",C: Je řidič povinen před zařazením do průběžného jízdního pruhu dosáhnout rychlosti nejméně 80 km/h.
237,06050157,Řidič motorového vozidla o maximální přípustné hmotnosti nepřevyšující 3 500 kg a autobusu smí jet:,,B: Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1.,A: Na silnici pro motorová vozidla a na dálnici rychlostí nejvýše 130 km.h-1.,"C: Na silnici pro motorová vozidla rychlostí nejvýše 110 km.h-1 a na dálnici rychlostí nejvýše 130 km.h-1, s výjimkou řidiče autobusu, který na dálnici smí jet rychlostí nejvýše 110 km.h-1."
340,,Na obrázku jsou,./assets/173.gif,B: Tři kruhy bílé,A: Čtyři kruhy černé,C: Jen čtverce
341,,Na obrázku jsou kruhy seřazené:,./assets/174.gif,A: Do dvojic,B: Kruhy bílé a červené,C: Je zde 8 kruhů
784,06060049,Odbočují-li řidiči protijedoucích vozidel vlevo:,,A: Vyhýbají se vlevo (jejich vozidla se míjejí pravými boky).,B: Vyhýbají se vpravo (jejich vozidla se míjejí levými boky).,C: Vyhýbají se podle okolností a dostatku prostoru v křižovatce vpravo i vlevo.
808,06060385,Předjíždí se:,,"C: Vlevo; vpravo se předjíždí vozidlo, které mění směr jízdy vlevo a není-li již pochybnosti o dalším směru jeho jízdy.","A: Vlevo, a to bez výjimky.","B: Vpravo nebo vlevo, podle toho, kde je v dané situaci více prostoru pro bezpečné předjetí."
1022,06060413,Řidič vozidla z výhledu:,,"B: Nemusí dát přednost v jízdě červenému vozidlu jedoucímu zprava, protože toto vozidlo se pohybuje v přípojovacím pruhu.","A: Musí dát přednost v jízdě červenému vozidlu, protože toto vozidlo přijíždí zprava.",C: Musí snížením rychlosti jízdy umožnit plynulou jízdu červenému vozidlu jedoucímu zprava.
1108,06060337,Smíte jako řidič vozidla z výhledu v dané situaci vjet na tento železniční přejezd?,,B: Ne.,A: Ano.,
1468,06040239,"Autobus s označením ""Označení autobusu přepravujícího děti"" zastavil v označené zastávce. Řidič vozidla, které jede za ním:",,A: Je povinen zastavit vozidlo za tímto autobusem a pokračovat v jízdě může až po odjezdu autobusu ze zastávky.,"B: Smí tento autobus objet, pokud při tom dbá zvýšené opatrnosti a přihlédne k možnosti vběhnutí dětí do vozovky.","C: Smí autobus objet, jen pokud mu dopravce dává znamení, že je možné autobus bezpečně objet."
1469,06040240,Na pozemní komunikaci objíždí vozidlo překážku. Musí jeho řidič dávat znamení o změně směru své jízdy?,,A: Ano.,B: Ne.,
1476,06040251,Po předjetí jiného vozidla máte v úmyslu se zařadit před toto vozidlo. Musíte dávat znamení o změně směru jízdy?,,A: Ano.,B: Ne.,
1477,06040255,"V tunelu došlo k poruše motorového vozidla, které se stalo nepojízdným. Jako řidič takového vozidla nesmíte:",,A: Kouřit nebo zacházet s otevřeným ohněm.,B: Opustit vozidlo.,C: Zastavovat jiná vozidla.
1483,06040278,"Zapnutím výstražného světelného znamení dává řidič upozornění, pokud:",,A: Je nutné náhle snížit rychlost jízdy nebo zastavit vozidlo.,B: Řidič před vozidlem jede pomalu a zdržuje provoz na pozemních komunikacích.,"C: Předjíždí kolonu vozidel, která jej zpomaluje v jízdě."
1504,06040308,"Za vozidlem hromadné dopravy osob, které zastavilo v obci v zastávce bez nástupního ostrůvku nebo bez nástupiště na zvýšeném tramvajovém pásu, musí řidič jiného vozidla:",,"B: Vozidlo zastavit; je-li v zastávce více vozidel hromadné dopravy osob, musí zastavit za druhým z nich, pokračovat v jízdě smí teprve tehdy, neohrozí-li již cestující, kteří nastupují nebo vystupují.",A: Snížit rychlost vozidla s ohledem na bezpečnost nastupujících a vystupujících cestujících.,"C: Vozidlo zastavit i v případě, zastaví-li vozidlo hromadné dopravy osob u okraje vozovky."
1508,06040268,Řidič nesmí překročit:,,"A: Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nejvyšší povolenou rychlost žádného z vozidel soupravy.","B: Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nemusí brát zřetel na nejvyšší povolenou rychlost přípojného vozidla.","C: Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, musí  brát zřetel jen na nejvyšší povolenou rychlost přípojného vozidla."
1511,06040276,"Řidič vozidla, který nehodlá nebo nemůže projet podél tramvaje vpravo:",,"A: Musí za ní jet v takové vzdálenosti, aby umožnil projetí podél tramvaje ostatním řidičům.","B: Musí pokračovat v jízdě za tramvají až na takové místo, kde lze podél tramvaje projet vpravo.",C: Musí zastavit vozidlo a umožnit ostatním řidičům projetí podél tramvaje.
1517,06040315,"Řidič vozidla, které zastavilo nebo stálo a opět vyjíždí od okraje pozemní komunikace nebo od chodníku:",,C: Musí dávat znamení o změně směru jízdy a nesmí ohrozit ostatní účastníky provozu na pozemních komunikacích.,A: Musí dávat znamení o změně směru jízdy a nesmí ohrozit ani omezit ostatní účastníky provozu na pozemních komunikacích.,B: Nemusí dávat znamení o změně směru jízdy a může omezit ostatní účastníky provozu na pozemních komunikacích.
1521,06040287,Řidič motorového vozidla smí dávat světelné výstražné znamení krátkým přerušovaným rozsvícením dálkových světel nebo přepínáním potkávacích a dálkových světel:,,B: Pouze k odvrácení hrozícího nebezpečí nebo k upozornění řidiče předjížděného vozidla.,A: Jen mimo obec při předjíždění k upozornění řidiče předjížděného vozidla.,C: Pokud chce upozornit ostatní řidiče na silniční kontrolu.
1525,06040297,Řidič při vyjíždění z kruhového objezdu:,,A: Je povinen dát znamení o změně směru jízdy vpravo.,B: Není povinen dát znamení o změně směru jízdy.,C: Je povinen upozornit ostatní účastníky provozu o svém úmyslu výstražným světelným znamením.
1526,06040298,Řidič vjíždějící z účelové pozemní komunikace na jinou pozemní komunikaci:,,B: Musí dát přednost v jízdě vozidlům nebo jezdcům na zvířatech nebo organizovanému útvaru chodců nebo průvodcům hnaných zvířat se zvířaty jdoucím po pozemní komunikaci.,A: Nemusí dát přednost v jízdě vozidlům nebo jezdcům na zvířatech nebo organizovanému útvaru chodců nebo průvodcům hnaných zvířat se zvířaty jdoucím po pozemní komunikaci.,"C: Nemusí dát přednost jezdcům na zvířatech nebo organizovanému útvaru chodců jdoucím po pozemní komunikaci, musí dát přednost v jízdě pouze vozidlům jedoucím po pozemní komunikaci."
1536,06040347,"Na silniční vegetaci, pokud to není povoleno místní úpravou na pozemní komunikaci:",,B: Řidič nesmí zastavit a stát.,A: Řidič může zastavit na dobu nezbytně nutnou.,"C: Řidič může zastavit, nikoli však stát."
1537,06040328,Na jednosměrné pozemní komunikaci smí řidič zastavit a stát:,,C: Vpravo i vlevo.,A: Pouze vpravo.,B: Pouze vlevo.
1545,06040342,"Před železničním přejezdem, u kterého je umístěna dopravní značka ""Stůj, dej přednost v jízdě!"", musí řidič zastavit vozidlo:",,"A: Na takovém místě, odkud má náležitý rozhled na trať.",B: Nejdále 5 m za touto dopravní značkou.,C: Nejméně 5 m před železničním přejezdem.
1589,06040223,Vozidlo vjíždějící na pozemní komunikaci:,,"A: Musí být předem očištěno tak, aby neznečišťovalo pozemní komunikaci.","B: Musí být v případě, že tak lze učinit bez větších obtíží, předem očištěno.",C: Musí být očištěno na nejbližším vhodném místě po vjetí na pozemní komunikaci.
1607,06040187,"Řidič, který při předjíždění motorového vozidla vybočuje ze směru své jízdy:",,B: Musí dávat znamení o změně směru jízdy.,A: Nemusí dávat znamení o změně směru jízdy.,"C: Dává znamení o změně směru jízdy jen tehdy, vyžaduje-li to bezpečnost provozu."
2211,06050358,Při jízdě po silnici pro motorová vozidla:,,A: Je zakázáno zastavit a stát mimo místa označená jako parkoviště.,"B: Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.",C: Platí stejná ustanovení jako pro zastavení a stání na ostatních pozemních komunikacích.
2214,06050360,Řidič odbočující z kruhového objezdu:,,B: Musí dávat znamení o změně směru jízdy vpravo.,A: Musí dávat znamení o změně směru jízdy vlevo.,C: Nemusí dávat znamení o změně směru jízdy.
2216,06050362,"Může řidič motorového vozidla předjíždět bezprostředně před přechodem pro chodce, pokud dává znamení o změně směru jízdy?",,B: Ne.,A: Ano.,
2217,06050363,Při jízdě na dálnici:,,A: Je zakázáno zastavit a stát mimo místa označená jako parkoviště.,"B: Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.",C: Platí stejná ustanovení jako pro zastavení a stání na ostatních pozemních komunikacích.
2218,06050514,Na silnici pro motorová vozidla:,,A: Je zakázáno zastavit a stát mimo místa označená jako parkoviště.,"B: Je zakázáno zastavit a stát, s výjimkou míst na krajnici, kde je parkování povoleno.",C: Je zakázáno stát mimo místa označená jako parkoviště; na krajnici je zde možné zastavit i mimo vyznačené parkoviště.
2231,06050351,Řidič předjížděného vozidla:,,A: Nesmí zvyšovat rychlost ani jinak bránit předjíždění.,B: Může zvyšovat rychlost a bránit i jinak v předjíždění.,"C: Může zvyšovat rychlost, pokud má silnější vozidlo."
2233,10040013,Řidič nesmí předjíždět:,,"A: nemá-li před sebe rozhled na takovou vzdálenost, která je nutná k bezpečnému předjetí.",B: nemá-li před sebe rozhled na vzdálenost nutnou k bezpečnému předjetí; to neplatí na jednosměrné pozemní komunikaci a při předjíždění cyklistů.,C: v noci.
2235,06050352,Řidiči protijedoucích vozidel se vyhýbají:,,"C: Vpravo, včas a v dostatečné míře.","A: Vlevo, včas a v dostatečné míře.","B: Vlevo, minimálně 10 m před místem, kde se budou míjet."
2241,06050636,"Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:",,A: Je řidič porouchaného vozidla podle okolností oprávněn zastavovat jiná vozidla.,B: Jsou řidič a přepravované osoby z porouchaného vozidla povinni neprodleně opustit tunel.,"C: Je řidič porouchaného vozidla povinen neprodleně odstranit závadu, která mu brání v další jízdě."
2249,06050637,"Dojde-li při jízdě vozidla v tunelu k poruše vozidla, pro kterou se toto vozidlo stalo nepojízdným:",,A: Řidič ani přepravovaná osoba nesmí kouřit ani zacházet s otevřeným ohněm. Nezávislé topení nepojízdného vozidla musí v tunelu být vypnuto.,B: Řidič vozidla neoznačuje vozidlo jako překážku v provozu na pozemních komunikacích.,"C: Řidič vozidla a přepravované osoby mohou zůstat ve vozidle, pokud neprodleně oznámili zastavení vozidla policii nebo osobě vykonávající dohled nad provozem tunelu."
2251,06050339,Řidič nesmí zastavit a stát:,,C: V připojovacím nebo odbočovacím pruhu.,"A: V připojovacím pruhu, nejméně 50 m před místem připojení k průběžnému pruhu.",B: Jen v odbočovacím pruhu.
2542,06050607,Mimo obec se na pozemní komunikaci o dvou nebo více jízdních pruzích v jednom směru jízdy jezdí:,,"B: V pravém jízdním pruhu. V ostatních jízdních pruzích se smí jet, jestliže je to nutné k objíždění, předjíždění, otáčení nebo odbočování.","A: V levém jízdním pruhu. V ostatních jízdních pruzích se smí jet, jestliže je to nutné k objíždění, předjíždění, otáčení nebo odbočování.","C: V kterémkoli jízdním pruhu, jestliže tím není ohrožena plynulost provozu na pozemních komunikacích, zejména jízda ostatních vozidel."
2556,06050621,"Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy k bezpečnému vyhnutí není nutné, aby musel jeden z řidičů couvat:",,"A: Musí dát přednost v jízdě ten, na jehož straně jízdy je překážka nebo zúžená vozovka.","B: Musí dát přednost v jízdě ten, na jehož straně jízdy není překážka nebo zúžená vozovka.","C: Musí dát přednost v jízdě ten, pro něhož je to snazší nebo méně nebezpečné."
2557,06050622,"Nemohou-li se řidiči protijedoucích vozidel bezpečně vyhnout v situaci, kdy je k bezpečnému vyhnutí nutné, aby jeden z řidičů couval:",,"C: Učiní tak ten, pro něhož je to snazší nebo méně nebezpečné.","A: Učiní tak ten, na jehož straně jízdy je překážka nebo zúžená vozovka.","B: Učiní tak ten, na jehož straně jízdy není překážka nebo zúžená vozovka."
2639,06060067,"Dojde-li během jízdy na dálnici na vozidle nebo nákladu k závadě, pro kterou nelze dosáhnout na rovině rychlosti nejméně 80 km/h, musí řidič:",,A: Opustit dálnici na nejbližším výjezdu.,B: Vozidlo okamžitě odstavit na krajnici a označit jako překážku provozu.,C: Přejet do jízdního pruhu pro pomalá vozidla a v něm pokračovat v jízdě.
2643,06060069,"Během jízdy na dálnici mimo obec se ukázalo, že s Vaším vozidlem ve stoupání nelze dosáhnout rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po dálnici?",,"A: Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.",B: Ne. Dálnici musíte opustit na nejbližším výjezdu.,C: Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.
2644,06060070,"Během jízdy na silnici pro motorová vozidla mimo obec se ukázalo, že Vaše vozidlo ve stoupání nedosahuje rychlosti nejméně 80 km/h (např. pro nedostatečný výkon motoru nebo pro hmotnost přepravovaného nákladu). Můžete pokračovat v jízdě po této silnici?",,"A: Ano. Důležité je, že vozidlo může dosáhnout této rychlosti na rovině.",B: Ne. Silnici pro motorová vozidla musíte opustit na nejbližším výjezdu.,C: Ne. Vozidlo musíte odstavit na krajnici a označit jako překážku provozu.
2667,06060082,Řidič na pozemní komunikaci s jednosměrným provozem:,,"A: Smí couvat, jestliže je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.","B: Nesmí couvat, i když je to nezbytně nutné, například k zajetí do řady stojících vozidel nebo vyjetí z ní.","C: Smí couvat, jestliže je tato pozemní komunikace široká nejméně 6 metrů."
2668,06060083,Řidič motorového vozidla:,,"A: Se nesmí otáčet na místech nepřehledných nebo jinak nebezpečných, např. v nepřehledné zatáčce a její blízkosti nebo před nepřehledným vrcholem stoupání pozemní komunikace, na něm a za ním.","B: Se může otáčet na přechodu pro chodce nebo na přejezdu pro cyklisty nebo v jejich těsné blízkosti, pokud tím neohrozí bezpečnost ostatních účastníků silničního provozu.","C: Se může otáčet v těsné blízkosti železničního přejezdu, pokud je železniční zabezpečovací zařízení funkční."
2669,06060084,Přejíždět z jednoho jízdního pruhu do druhého smí řidič jen tehdy:,,"C: Neohrozí-li a neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; přitom musí dávat znamení o změně směru jízdy.","A: Neomezí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává.","B: Neohrozí-li řidiče jedoucího v jízdním pruhu, do kterého přejíždí; znamení o změně směru nedává."
2796,06060096,"Kdy smíte při jízdě s motorovým vozidlem, které je vybaveno světly pro denní svícení, těmito světly svítit?",,"A: Pouze při nesnížené viditelnosti, a to bez současného použití obrysových světel.",B: Při nesnížené viditelnosti samostatně a při současném použití obrysových světel i při snížené viditelnosti.,C: Pouze v době od 6.00 hodin do 20.00 hodin a jen při současném použití obrysových světel.
2800,06060097,Podél tramvaje se jezdí:,,"C: Vpravo, pokud není dopravní značkou ""Objíždění tramvaje"" povolena jízda vlevo.","A: Vpravo i vlevo, pokud je tramvajový pás ve stejné úrovni s vozovkou.","B: Vpravo; vlevo smí řidič jet v případě, stojí-li tramvaj v zastávce."
2802,06060098,Řidič při vjíždění na pozemní komunikaci z místa ležícího mimo pozemní komunikaci musí:,,A: Dát přednost v jízdě ostatním účastníkům provozu na pozemních komunikacích.,B: Brát ohled na ostatní účastníky provozu na pozemních komunikacích.,C: Dát přednost v jízdě vozidlům přijíždějícím zprava.
2803,06060099,Tramvaj zastavila v zastávce bez nástupního ostrůvku. Řidič jiného vozidla jedoucího za touto tramvají musí:,,"A: Zastavit vozidlo. Pokračovat v jízdě smí teprve tehdy, neohrozí-li již cestující, kteří nastupují nebo vystupují.","B: Zastavit vozidlo na dobu, než tramvaj odjede z prostoru zastávky.",C: Tramvaj se zvýšenou opatrností objet vlevo; přitom musí svou jízdu přizpůsobit zejména možnosti vstoupení chodců do vozovky.
2805,06060101,"Řidič, který se po předjetí zařazuje před vozidlo, které předjel:",,"B: Musí dávat znamení o změně směru jízdy a nesmí ohrozit ani omezit řidiče vozidla, které předjel.","A: Může omezit řidiče vozidla, které předjel, a musí dávat znamení o změně směru jízdy.","C: Nemusí dávat znamení o změně směru jízdy, pokud neomezí řidiče vozidla, které předjel."
2806,06060102,"Řidič motorového vozidla o maximální přípustné hmotnosti převyšující 3 500 kg, s výjimkou autobusu, smí jet mimo obec rychlostí nejvýše:",,B: 80 km.h-1.,A: 90 km.h-1.,C: 70 km.h-1.
2807,06060103,"Pokud není dopravní značkou ""Nejvyšší dovolená rychlost"" dovolena rychlost vyšší, smí jet řidič v obci rychlostí nejvýše:",,A: 50 km.h-1.,B: 60 km.h-1.,C: 70 km.h-1.
2808,06060104,Při použití sněhových řetězů na vozidle smí jet řidič:,,C: Rychlostí nejvýše 50 km.h-1,A: Rychlostí nejvýše 30 km.h-1.,B: Rychlostí nejvýše 80 km.h-1.
2811,06060107,Řidiči protijedoucích vozidel se vyhýbají:,,"C: Vpravo, včas a v dostatečné míře.","A: Vlevo, včas a v dostatečné míře.","B: Vpravo, při zachování minimálního bočního odstupu 1 m."
2812,06060108,Ustanovení o provozu na dálnici platí:,,B: Pro dálnici a silnici pro motorová vozidla.,A: Jen pro dálnice.,"C: Pro všechny pozemní komunikace, s výjimkou místních komunikací."
