id,code,title,media,answer,firstWrong,secondWrong
498,06060404,Jako řidič auta z výhledu v dané situaci:,,"A: Musíte zejména sledovat světelnou signalizaci a chování odbočujících řidičů v protisměru, i když Vám musejí dát přednost v jízdě.","B: Musíte sledovat světelnou signalizaci a chování odbočujících řidičů v protisměru, jimž musíte dát přednost v jízdě.",C: Musíte na příkaz dopravní značky odbočit vpravo.
509,06060502,Jste řidičem vozidla z výhledu. Ve vyobrazené dopravní situaci:,,"C: Smíte odbočit vlevo, ale musíte dát přednost chodcům přecházejícím ve volném směru po přechodu pro chodce.","A: Smíte odbočit vlevo, aniž byste někomu musel(a) dávat přednost.","B: Nesmíte odbočit vlevo, neboť zelený plný kruhový světelný signál ""Volno"" umožňuje projet křižovatku pouze v přímém směru."
1311,06050055,Jako řidič automobilu z výhledu projedete touto křižovatkou:,,"B: Jako druhý, protože zelené vozidlo, které přijíždí zprava, má přednost v jízdě.","A: Jako první, protože zelené vozidlo, které přijíždí zprava, vám musí dát přednost v jízdě.","C: Jako první nebo druhý. Vozidla projíždějí křižovatkou v pořadí, v jakém k ní přijela."
1329,06050483,Jste řidičem vozidla z výhledu. V jakém pořadí projedou vozidla touto křižovatkou?,,"A: Jako první červené vozidlo, jako druhé zelené vozidlo, jako poslední modré vozidlo společně s Vaším vozidlem.","B: Jako první červené vozidlo společně se zeleným vozidlem, následně modré vozidlo společně s Vaším vozidlem.","C: Jako první zelené vozidlo, jako druhé červené vozidlo, jako poslední modré vozidlo společně s Vaším vozidlem."
1332,06060414,"Blížíte se k místu, kde si děti hrají na chodníku. Jak se musíte zachovat?",,A: Podle okolností zpomalit jízdu a být připraven brzdit.,"B: Pokračovat v jízdě stejnou rychlostí, abych neomezil vozidla za sebou.",C: Dát výstražné zvukové znamení a pokračovat v jízdě.
1336,06050583,"Jste řidičem vozidla z výhledu. Určete, v jakém pořadí projedou vozidla touto křižovatkou:",,"A: 1. Vaše vozidlo současně s protijedoucím červeným vozidlem, 2. zelené vozidlo.","B: 1. Vaše vozidlo současně se zeleným vozidlem jedoucím zprava, 2. červené vozidlo.","C: 1. červené vozidlo, 2. zelené vozidlo, 3. Vaše vozidlo."
1338,06050584,"Jste řidičem vozidla z výhledu. Určete, v jakém pořadí projedou vozidla vyobrazenou křižovatkou:",,"A: 1. Vaše vozidlo, 2. protijedoucí žluté vozidlo, 3. zelené vozidlo.","B: 1. Vaše vozidlo, 2. zelené vozidlo jedoucí zprava, 3. žluté vozidlo.","C: 1. zelené vozidlo jedoucí zprava, 2. Vaše vozidlo, 3. žluté vozidlo."
1339,06050585,"Jste řidičem vozidla z výhledu. Určete, v jakém pořadí projedou vozidla touto křižovatkou:",,"A: 1. zelené vozidlo jedoucí zleva, 2. protijedoucí zelené vozidlo, 3. oranžové nákladní vozidlo, 4. Vaše vozidlo.","B: 1. protijedoucí zelené vozidlo, 2. zelené vozidlo jedoucí zleva, 3. oranžové nákladní vozidlo, 4. Vaše vozidlo.","C: 1. zelené vozidlo jedoucí zleva, 2. protijedoucí zelené vozidlo, 3. Vaše vozidlo, 4. oranžové nákladní vozidlo."
1340,06050587,"Jste řidičem vozidla z výhledu. Určete, kolikáté projede Vaše vozidlo touto křižovatkou:",,A: Jako poslední.,B: Jako druhé.,C: Jako třetí.
1341,06050024,Jste řidičem vozidla z výhledu. Jaké chování očekáváte od řidiče zeleného vozidla?,,B: Dá přednost v jízdě červenému vozidlu a projede křižovatkou jako druhý.,A: Projede křižovatkou jako první a nedává přednost v jízdě žádnému vozidlu.,"C: Dá přednost v jízdě vašemu vozidlu, které projede křižovatkou jako první."
