id,code,title,media,answer,firstWrong,secondWrong
342,,Na obrázku jsou:,./assets/176.gif,B: Bílé a černé kruhy,A: Jen bílé kruhy,C: Jen černé kruhy
1400,08100001,"Pokud nepřetržitě řídíte vozidlo o celkové hmotnosti 16 t, musíte zařadit bezpečnostní přestávku nejpozději:",,"A: Po 4,5 hodinách.",B: Po 5 hodinách.,"C: Po 5,5 hodinách."
1402,06060463,Může řidič číst za jízdy z mapy?,,"A: Ne, zvyšuje se tím riziko dopravní nehody. Řidič se musí věnovat řízení vozidla.","B: Ano, ale pouze při rychlosti nižší než je 50 km/h.","C: Ano, s výjimkou jízdy na dálnici."
1615,06040174,"Ve výhledu z motorového vozidla vidíte děti, které si hrají na chodníku. Jak se zachováte?",,A: Budete s ohledem na možné vběhnutí dětí do vozovky připraven(-a) brzdit a podle okolností snížíte rychlost jízdy.,"B: Protože jsou děti na chodníku, nemáte důvod ke zvýšení opatrnosti ani ke změně způsobu jízdy.",C: Z dostatečné vzdálenosti upozorníte hrající si děti na možné nebezpečí zvukovým výstražným znamením.
1706,06050518,Prodleva brzd:,,C: Brzdnou dráhu prodlužuje.,A: Brzdnou dráhu neovlivňuje.,B: Brzdnou dráhu zkracuje.
2253,06050523,Přilnavost mezi pneumatikou a povrchem vozovky je závislá na:,,"A: Huštění pneumatiky, hloubce jejího dezénu a druhu povrchu vozovky.",B: Huštění pneumatiky a hloubce jejího dezénu. Druh povrchu vozovky nemá výraznější vliv na přilnavost.,C: Druhu povrchu vozovky. Huštění a hloubka dezénu pneumatiky výrazně přilnavost neovlivňují.
2271,06060275,Příčinou vzniku aquaplaningu je:,,A: Rychlá jízda na vozovce pokryté větším množstvím vody.,B: Prudké zrychlení vozidla na mokré vozovce.,C: Prudké brzdění vozidla na mokré vozovce.
2294,06050511,Při zapojování vozidel do soupravy:,,A: Nejprve zapojíme závěsné zařízení a potom zásuvku elektrického spojovacího zařízení.,B: Nejprve zapojíme zásuvku elektrického spojovacího zařízení a potom závěsné zařízení.,C: Není důležité pořadí úkonů.
2342,06050464,Kdy je efektivní používat tempomat?,,A: Pokud dopravní situace umožní jízdu stejnoměrnou rychlostí.,B: Jen ve stoupání nebo klesání.,C: Jen při vysokých rychlostech.
2344,06050444,Při výměně pravého předního kola nákladního vozidla se nejlépe zabrání nežádoucímu pohybu vozidla:,,"A: Zajištěním levého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem.",B: Zajištěním levého předního kola zakládacím klínem před kolem při současném zajištění kteréhokoliv zadního kola zakládacím klínem za kolem.,"C: Zajištěním pravého zadního kola dvěma zakládacími klíny, jedním před kolem a druhým za kolem."
2345,06050462,Jak při výměně pravého předního kola nejlépe zajistíte vozidlo před nežádoucím pohybem:,,"A: Levé zadní kolo se zajistí dvěma zakládacími klíny, jedním klínem před kolem a jedním za kolem.",B: Před levé přední kolo a před libovolné zadní kolo se dá po jednom zakládacím klínu.,C: Zakládací klín se dá před levé přední kolo.
2348,06050492,Jaké důsledky mohou mít síly působící na náklad při průjezdu zatáčkou?,,A: Nedostatečně upevněný náklad se může v zatáčce vysypat nebo posunout.,B: V zatáčce získává vozidlo větší stabilitu v důsledku vyšší hmotnosti.,C: Průjezd zatáčkou nemá žádný vliv na náklad.
2349,06050507,Při jízdě v obytné zóně se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,,"A: Okamžitě začít brzdit, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát mimo vozovku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
2350,06050480,Při jízdě v obci se před Vaším vozidlem náhle objeví kutálející se míč. Jak byste měli reagovat?,,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
2351,06050496,Při jízdě se před Vaším vozidlem zpoza parkujících aut náhle objeví kutálející se míč. Jak byste měli reagovat?,,"A: Okamžitě snížit rychlost jízdy nebo i zastavit vozidlo, protože na vozovku za míčem mohou vběhnout děti.","B: Pokračovat v jízdě, protože děti vědí, že mají zůstat stát na okraji chodníku a počkat, až auto přejede.","C: Vyhnout se míči, aby nedošlo k poškození Vašeho vozidla, a pokračovat v jízdě nezměněnou rychlostí."
2352,06050509,"Jaké důsledky mohou mít síly působící při průjezdu zatáčkou na větší náklad, který přepravujete na střešním nosiči zavazadel vozidla?",,"A: Na náklad působí odstředivá síla, takže se může vysypat nebo posunout.","B: V zatáčce získává vozidlo větší stabilitu, protože náklad snižuje těžiště vozidla.","C: Průjezd zatáčkou nemá žádný vliv na náklad, nemění se těžiště ani jízdní vlastnosti vozidla."
2355,06050468,"Pokud kontrolka směrových světel bliká výrazně rychleji než obvykle, může být příčinou:",,A: Závada na některé ze žárovek směrových světel.,B: Závada na přepínači směrových světel.,C: Závada na startéru vozidla.
2365,06050434,Co se rozumí aktivní bezpečností vozidla?,,B: Vlastnosti vozidla minimalizující příčiny vzniku dopravní nehody.,A: Vlastnosti vozidla minimalizující škody v průběhu dopravní nehody.,C: Vlastnosti vozidla minimalizující následky dopravní nehody po jejím vzniku.
2366,06050435,Co se rozumí pasivní bezpečností vozidla?,,A: Souhrn vlastností vozidla minimalizujících škody v průběhu dopravní nehody.,B: Souhrn vlastností vozidla minimalizujících příčiny vzniku dopravní nehody.,C: Souhrn vlastností vozidla vylučujících následky dopravní nehody.
2367,06050436,Mezi prvky pasivní bezpečnosti patří:,,B: Zádržné systémy.,A: Účinný brzdový systém.,C: Aerodynamická stabilita.
2368,06050437,Airbagy:,,A: Plní svou funkci pouze při řádném užití zádržných systémů .,B: Plně nahrazují funkci bezpečnostních pásů i jiných zádržných systémů.,C: Plní svou funkci pouze ve vozidlech vybavených systémem ABS.
2369,06050438,Pohon všech kol zajišťuje automobilu zejména:,,B: Zlepšení jízdních vlastností za zhoršených adhezních podmínek.,A: Lepší akceleraci a snazší dosažení maximální rychlosti.,C: Snížení spotřeby paliva při současném zlepšení jízdních vlastností.
2371,06050439,Přípojné vozidlo je:,,C: Přívěs i návěs.,A: Pouze přívěs.,B: Pouze návěs.
2372,06050440,Mezi prvky aktivní bezpečnosti patří:,,C: Dobrý výhled z vozidla.,A: Airbag.,B: Deformovatelná příď.
2374,06050442,Mezinárodní silniční doprava je:,,"A: Doprava, při níž místo výchozí a místo cílové leží na území dvou různých států, nebo doprava, při níž místo výchozí a cílové sice leží na území téhož státu, ale část jízdy se uskuteční na území jiného státu.","B: Doprava, při které je dopravcem užito vozidlo s registrační značkou cizího státu, který není členem Evropských společenství.","C: Doprava, při níž mají dopravce a zasílatel bydliště nebo sídlo ve dvou různých státech."
