1455,06040213,Zraněný si po dopravní nehodě stěžuje na bolesti břicha a pocit žízně:,A: Nepodáváme mu žádné nápoje.,B: Podáváme mu studené nápoje.,C: Podáváme mu dostatek vlažných nápojů.,
2113,06050284,První pomoc je povinen poskytnout:,"B: Každý, kdo tak může učinit bez nebezpečí pro sebe nebo jiného.","A: Jen ten, kdo prošel jakýmkoli zdravotnickým školením.","C: Každý, pokud již dosáhl věku 18 let.",
3076,06060268,"Hrozí trestní postih, pokud neposkytnete první pomoc?","A: Ano, s možností nepodmíněného trestu odnětí svobody.","B: Ne, v žádném případě, je to moje vlastní vůle.",C: Podle závažnosti úrazu nebo postižení poraněného.,
4068,09040010,Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:,B: Přibližně 100 stlačení za minutu.,A: Přibližně 60 stlačení za minutu.,C: Přibližně 160 stlačení za minutu.,
4072,09040014,Rychlou zdravotnickou záchranou službu přivoláme na telefonním čísle:,A: 155.,B: 150.,C: 158.,
4076,09040018,Při úrazu hlavy nejvíce poraněného ohrožuje:,B: Následné bezvědomí.,A: Viditelné krvácení.,C: Zlomeniny kostí lebky.,
4406,10070001,Správná frekvence stlačení hrudní kosti při srdeční masáži je u dospělého:,B: Přibližně 100 stlačení za minutu.,A: Přibližně 160 stlačení za minutu.,C: Přibližně 200 stlačení za minutu.,
4407,10070002,"Jak budete postupovat u zraněného v bezvědomí, který nedýchá a opakovaně se Vám nedaří uvolnit jeho dýchací cesty:",B: Zahájím srdeční masáž.,"A: Budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří.","C: Vzdám se jakékoliv dalších aktivit, protože jsou zbytečné.",
4467,11020001,"Jak se zachováte při kolapsovém stavu, kdy postižený upadne a ztrácí vědomí?",B: zvednu nohy postiženého a zajistím volné dýchací cesty,A: ihned zahájím resuscitaci,C: postiženého posadím a zavolám záchranou službu,
4468,11020002,Kdy zahájíte zevní srdeční masáž:,B: pokud je poraněný v hlubokém bezvědomí a nedýchá,A: jen pokud u poraněného nehmatám pulz,C: pokud masivně krvácí,
4472,11020006,U dopravní nehody s poraněním voláme jako první:,C: záchrannou službu (155),A: hasiče (150),B: policii (158),
4474,11020008,"Poraněný se po dopravní nehodě domáhá tekutin, jak se zachováte:",B: nedám mu napít ani přes jeho naléhání,A: poskytnu mu tekutiny v neomezeném množství,C: mohu mu dát i najíst,
4475,11020009,Při umělém dýchání z plic do plic u dospělého:,"B: dýchám úplně normálně frekvencí 6-8 vdechů/min, bez extrémního nádechu a vdechu do poraněného",A: dýchám frekvencí alespoň 20 vdechů/min a vždy se snažím o co největší vdech,C: vdechuji do plic poraněného jen obsah vzduchu ve svých ústech,
4476,11020010,"Jak budete postupovat, jste-li sami a opakovaně se Vám nedaří zajistit dýchací cesty:",B: přeruším snažení po 3-4 pokusech a zahájím zevní srdeční masáž,"A: budu pokračovat v opakovaných pokusech, dokud se mi to nepodaří",C: vzdám se jakékoliv další aktivity,
4477,11020011,U poraněného v hlubokém bezvědomí a bezdeší nastávají nezvratné změny mozkové tkáně do:,A: 5 min.,B: 10 min.,C: 20 min.,
4478,11020012,"Při poranění motorkáře, který je v bezvědomí a nedýchá:","B: je nejlepší vyproštění hlavy ve dvou zachráncích, kdy jeden pevně svírá hlavu poraněného a druhý opatrně sejme přilbu",A: nikdy nesundávám přilbu,C: mohu sejmout přilbu jakýmkoliv způsobem,
4479,11020013,Při úrazu hlavy s drobnějším viditelným krvácením nejvíce poraněného ohrožuje:,B: následné bezvědomí při poranění mozkové tkáně,A: krvácení,C: zlomeniny kostí lebky,
4480,11020014,Při provádění zevní srdeční masáže je správné stlačení hrudní kosti asi o:,A: 4-5 cm u dospělého tj. na šířku dvou palců zachraňovaného,B: stačí 1-2 cm,C: 8-10 cm,
4481,11020015,"Jak budete postupovat u poraněného, který má po pádu z motocyklu zlomenou dolní končetinu a reaguje na oslovení:","A: zavolám pomoc, případně stabilizuji zlomeniny a do příjezdu ZS budu u poraněného nadále sledovat stav vědomí a dýchání",B: stabilizuji zlomeninu a teprve potom zavolám ZS,"C: poraněného se nebudu vůbec dotýkat, aby nedošlo ke zhoršení jeho stavu",
4482,11020016,"Poraněný je v bezvědomí, leží na zádech a zatím dýchá. Náhle začne zvracet. Jak budete postupovat:",B: otočím mu hlavu na stranu a snažím se mu vyčistit dutinu ústní,"A: nechám ho zvracet, nehrozí mu žádné nebezpečí","C: nesmím mu pohnout hlavou (může mít poraněnou páteř) a nevadí, že může zvratky vdechnout do dýchacích cest",
4484,11020018,"Hrozí trestní postih, pokud neposkytnete první pomoc:",A: ano,B: ne,,
4485,11020019,"Pokud vidíte, že účastník nehody masivně krvácí:","B: neprodleně krvácející místo stlačím prsty, dlaní nebo složeným kusem oděvu",A: vrátím se k vlastnímu vozu a začnu hledat v lékárničce obvazový materiál,"C: krvácející místo nebudu ošetřovat, začnu poraněnému zajišťovat životní funkce tj. umělé dýchání, zevní srdeční masáž",
4486,11020020,Jak zjistíte stav vědomí pacienta:,"A: oslovím ho, zkusím bolestivý podnět (štípnutí do ušního lalůčku)",B: zkusím bolestivý podnět ostrým předmětem,C: poraněného hlasitě oslovím a zkusím posadit,
4487,11020021,"Jak jednoznačně zjistíte, že poraněný dýchá:",B: při sklonění se k ústům poraněného slyším jeho dech a cítím ho na své tváři,A: je růžový,C: nemá příznaky cyanózy,
4488,11020022,Jak zajistíte průchodnost dýchacích cest:,"A: zakloním mírně hlavu a předsunu dolní čelist směrem vzhůru, event. vyčistím ústa od cizích těles(zvratků, krve..)",B: předkloním mu hlavu,C: chytnu jazyk poraněného a snažím se ho vytáhnout z dutiny ústní,
4489,11020023,Po zahájení resuscitace je nejdůležitější:,"B: resuscitaci nepřerušovat do příjezdu ZS, obnovení dýchání nebo vlastního vyčerpání",A: resuscitovat v přesně daném poměru 30:2,C: pravidelně kontrolovat puls a dech poraněného,
4490,11020024,"Jste svědek dopravní nehody, na místě jsou dva zranění, z nichž jeden je v bezvědomí, druhý při vědomí, ale výrazně krvácí. Jaký bude Váš postup?","B: neprodleně zastavím masivní krvácení, zjistím stav poraněného v bezvědomí, zavolám ZS a zajistím místo nehody","A: nejdříve zjistím, zda poraněný v bezvědomí dýchá",C: zajistím parkovací místo vozidlu ZS a vyčkám jeho příjezdu,
4491,11020025,"Zjistíte, že poraněný má v ráně zabodnuté cizí těleso. Co uděláte?","B: těleso ponechám v ráně, ošetřím okolní krvácení, zajistím životní funkce",A: snažím se těleso opatrně z rány vyndat a zastavit krvácení,"C: poraněného nemusím sledovat a kontrolovat, pouze přivolám ZS",
