id,code,title,media,answer,firstWrong,secondWrong
1584,06040232,Provozovatel motorového	vozidla odpovídá:,,A: Za škodu vyvolanou zvláštní povahou provozu motorového vozidla.,"B: Pouze za škodu, která byla vyvolána porušením jeho právních povinností.","C: Pouze za škodu, která byla vyvolána porušením povinností řidiče tohoto vozidla."
1585,06040230,Pojištění odpovědnosti z provozu vozidla se vztahuje na:,,"A: Každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.","B: Vlastníka vozidla, který odpovídá za škodu způsobenou provozem vozidla. Na ostatní uživatele vozidla se toto pojištění nevztahuje.","C: Vlastníka vozidla při účasti na organizovaném motoristickém závodu, kde řidič není povinen dodržovat pravidla o provozu na pozemních komunikacích."
2255,06050342,Pojištění odpovědnosti z provozu vozidla se vztahuje:,,"A: Na každou osobu, která odpovídá za škodu způsobenou provozem vozidla uvedeného v pojistné smlouvě.",B: Na škodu způsobenou pouze provozovatelem tohoto vozidla a jeho rodinnými příslušníky.,C: Na škodu způsobenou výlučně provozovatelem tohoto vozidla.
2305,06050425,Policista smí řidiči na místě zadržet řidičský průkaz:,,C: Pouze v případech daných zákonem.,A: Kdykoli.,"B: Pouze v případě, že řidič požil před jízdou alkohol nebo jinou návykovou látku."
2306,06050431,"Od řidiče motorového vozidla podezřelého ze spáchání přestupku proti bezpečnosti a plynulosti provozu na pozemních komunikacích, u kterého je důvodné podezření, že se bude vyhýbat přestupkovému řízení, je oprávněn vybrat kauci:",,A: Policista.,B: Policista a strážník obecní policie.,"C: Policista, strážník obecní policie a celník ve stejnokroji."
2310,06050429,Zdravotně způsobilý k řízení motorových vozidel není ten:,,A: Kdo má podle posudku o zdravotní způsobilosti poruchy chování způsobené závislostí na alkoholu nebo jiných psychoaktivních látkách.,B: Kdo je v pracovní neschopnosti.,C: Kdo je osobou těžce postiženou nebo těžce pohybově postiženou anebo osobou sluchově postiženou
2311,06050430,"Ten, kdo se v rozporu se zákonem nepodrobil pravidelné lékařské prohlídce a není proto držitelem platného posudku o zdravotní způsobilosti:",,A: Je zdravotně nezpůsobilý k řízení motorových vozidel.,"B: Je zdravotně způsobilý k řízení motorových vozidel do doby, než se pravidelné lékařské prohlídce podrobí, nejdéle však po dobu šesti měsíců.",C: Ztrácí řidičské oprávnění.
3218,06060485,"Dálnice, silnice a místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:",,A: Stavebnímu stavu a dopravně technickému stavu těchto pozemních komunikací a povětrnostním situacím a jejich důsledkům.,B: Schopnostem řidiče reagovat na nenadálé situace v silničním provozu.,C: Jízdním vlastnostem vozidla užitého řidičem v silničním provozu.
3220,06060487,"Silnice jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel přizpůsobený:",,A: Stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.,"B: Stavebnímu a dopravně technickému stavu silnice, bez ohledu na povětrnostní podmínky.",C: Možnostem finančního krytí investic z prostředků správce dané pozemní komunikace.
3222,06060489,"Místní komunikace jsou sjízdné, jestliže umožňují bezpečný pohyb silničních a jiných vozidel:",,A: Přizpůsobený stavebnímu stavu a dopravně technickému stavu silnic a povětrnostním situacím a jejich důsledkům.,"B: Za mlhy, deště nebo hustého sněžení.",C: Za snížené viditelnosti.
3224,06060491,"Závadou ve sjízdnosti dálnice se rozumí taková změna v její sjízdnosti, kterou:",,A: Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu dálnice a povětrnostním situacím a jejich důsledkům.,B: Řidič nemohl zjistit z dopravního zpravodajství.,C: Kterou vyvolal hustý provoz na dálnici.
3226,06060493,"Závadou ve sjízdnosti silnice se rozumí taková změna v její sjízdnosti, kterou:",,A: Nemůže řidič vozidla předvídat při pohybu vozidla přizpůsobeném stavebnímu stavu a dopravně technickému stavu silnice a povětrnostním situacím a jejich důsledkům.,B: Vyvolal uježděný sníh ležící na vozovce.,C: Mohl řidič při náležité obezřetnosti předvídat.
4115,10040023,Zelená karta:,,"B: je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.",A: osvědčuje zaplacení dálničního poplatku.,C: je doklad o kontrole měření emisí.
4518,11050001,Zelená karta:,,"B: Je mezinárodní osvědčení prokazující skutečnost, že k vozidlu byla uzavřena smlouva o pojištění odpovědnosti za škodu způsobenou provozem vozidla uvedeného v tomto osvědčení.",A: osvědčuje zaplacení ekologického poplatku.,C: je doklad o kontrole měření emisí.
4529,11080002,"Policista může zabránit v jízdě motorovému vozidlu použitím technického prostředku (tzv. botičky) nebo odtažením vozidla, jestliže:",,"A: je důvodné podezření, že vozidlo bylo odcizeno.",B: na vozidle není umístěna státní poznávací značka.,C: řidič při kontrole nepředloží osvědčení o registraci vozidla a doklad o pojištění odpovědnosti z provozu vozidla.
4552,11080028,"Řidič, který dosáhl 12 bodů a pozbyl řidičské oprávnění, je oprávněn požádat o vrácení řidičského oprávnění nejdříve po uplynutí:",,B: 1 roku ode dne pozbytí řidičského oprávnění.,A: půl roku ode dne pozbytí řidičského oprávnění.,C: 1 roku ode dne právní moci rozhodnutí o zákazu činnosti spočívající v zákazu řízení všech motorových vozidel.
