id,code,title,media,answer,firstWrong,secondWrong
180,06060386,Nemotorové vozidlo je:,,"A: Přípojné vozidlo a vozidlo pohybující se pomocí lidské nebo zvířecí síly, například jízdní kolo, ruční vozík nebo potahové vozidlo.","B: Každé vozidlo poháněné jiným než spalovacím motorem, například elektromobil.","C: Kolejové vozidlo, které se účastní provozu na pozemních komunikacích."
195,06060392,Připojovací pruh je:,,C: Jízdní pruh určený pro zařazování vozidel do průběžného pruhu.,A: Jízdní pruh vyhrazený jen pro vozidla hromadné dopravy osob.,"B: Jízdní pruh určený pro pomalá vozidla, která nemohou v daném úseku dosáhnout okamžité rychlosti nejméně 60 km/h."
479,06060393,"Jízdní pruh, do kterého hodlá přejet řidič vozidla z výhledu, se nazývá:",,B: Odbočovací pruh.,A: Připojovací pruh.,C: Průběžný pruh.
1527,06040299,Kdo odpovídá za umístění a upevnění dětské autosedačky v souladu s návodem k jejímu použití?,,A: Vždy řidič vozidla.,B: Zákonný zástupce dítěte nebo jím pověřená osoba.,"C: Osoba, která dítě doprovází, a u dítěte bez doprovodu řidič."
1650,08100005,Během jízdy motorovým vozidlem není ze zákona zakázáno kouřit:,,A: Řidiči osobního motorového vozidla.,"B: Řidiči motocyklu, mopedu nebo jízdním kole.",C: Řidiči vozidla hromadné dopravy osob.
2131,06050414,"Je jezdec na koni, který se pohybuje po pozemní komunikaci, řidičem?",,B: Ano.,A: Ne.,
2132,06050415,"Platí pro jezdce na koni, který jede po pozemní komunikaci, povinnosti a práva řidiče?",,A: Ano.,B: Ne.,
2137,06050419,"Vozka, který řídí potahové vozidlo, je:",,C: Řidičem.,A: Jezdcem na zvířeti.,B: Průvodcem vedených a hnaných zvířat.
2142,06050398,"Mohou účastníci provozu na pozemních komunikacích používat tzv. aktivní antiradary, tj. technické prostředky, které znemožňují nebo ovlivňují funkci technických prostředků používaných policií při dohledu na bezpečnost provozu?",,B: Ne.,A: Ano.,
2145,06050401,Provozovatel vozidla je:,,"B: Osoba, která je v registru silničních vozidel zapsána jako vlastník vozidla, není-li jako jeho provozovatel v registru silničních vozidel zapsána jiná osoba.","A: Každá fyzická osoba, která je držitelem řidičského oprávnění, ale není vlastníkem vozidla.","C: Každá fyzická osoba, která je držitelem řidičského oprávnění."
2146,06050402,"Je vozka, který řídí potahové vozidlo, řidičem?",,B: Ano.,A: Ne.,
