id,code,title,media,answer,firstWrong,secondWrong
427,06060308,"Řidič nesmí připustit, aby počet přepravovaných osob starších 12 let překročil:",,A: Počet povolených míst určených k přepravě osob.,"B: Počet povolených míst určených k přepravě osob, jen pokud jsou vybavena zádržným bezpečnostním systémem.",C: Dvojnásobek počtu povolených míst určených k přepravě osob.
476,06060408,Řidič vozidla z výhledu:,,C: Nesmí pokračovat v jízdě křižovatkou. Má za povinnost zastavit vozidlo před příčnou čárou souvislou.,"A: Může pokračovat v jízdě křižovatkou, dává znamení o změně směru včas a v dostatečné míře a je na hlavní pozemní komunikaci.","B: Může pokračovat v jízdě křižovatkou; je v dostatečné vzdálenosti od křižovatky a na světelném signalizačním zařízení již svítí signál ""Připravit k jízdě""."
1297,06060335,Chodec smí vstoupit na přechod pro chodce:,,"A: Jen pokud se neblíží vozidlo, před které by bezprostředně vstoupil.","B: Jen pokud dá znamení rukou, že bude přecházet; pak může řidiče donutit i k náhlé změně rychlosti a směru jízdy.","C: Vždy, protože má absolutní přednost před vozidly."
1566,06040277,"Řidič, který měl účast na dopravní nehodě, je povinen:",,A: Neprodleně zastavit vozidlo.,"B: Neprodleně zastavit vozidlo, jen pokud došlo ke zranění nebo usmrcení osob.","C: Neprodleně zastavit vozidlo, jen pokud došlo při této nehodě ke škodě na majetku převyšující částku 50 000 Kč nebo ke zranění nebo usmrcení osob."
1572,06040259,"Svítí-li světlo signálu se žlutým světlem ""Pozor!"" na křižovatce přerušovaně:",,A: Nejde o křižovatku s provozem řízeným světelnými signály.,B: Znamená to pro řidiče povinnost neprodleně křižovatku opustit.,C: Je to signál pro řidiče k volnému průjezdu křižovatkou.
2122,06060418,Při tomto pokynu policisty je řidič:,,"B: Povinen připravit se k jízdě, pokud jede ze směru, pro který byl provoz předtím zastaven.","A: Povinen zastavit vozidlo, ať přijíždí z kteréhokoliv směru jízdy; odbočit vlevo je povolené.","C: Oprávněn pokračovat v jízdě jen přímým směrem, bez možnosti odbočení."
2125,10040020,Tento pokyn policisty znamená:,,"C: ""Pozor!""","A: ""Stůj!""","B: ""Volno"""
2128,10040019,"V dané situaci, mohou účastníci silničního provozu odbočovat?",,"C: vpravo i vlevo, dodrží-li ustanovení o odbočování.","A: pouze vpravo, dodrží-li ustanovení o odbočování.","B: pouze vlevo, dodrží-li ustanovení o odbočování."
2252,06050340,"Řidič vozidla, které je povinně vybaveno přenosným trojúhelníkem a pro technickou závadu se na pozemní komunikaci mimo obec stalo nepojízdným, je povinen tento trojúhelník umístit:",,"A: Na okraj vozovky ve vzdálenosti nejméně 50 metrů za vozidlem, na dálnici nejméně 100 m za vozidlem.","B: Na střed vozovky ve vzdálenosti nejméně 50 metrů za vozidlem, na dálnici nejméně 100 m za vozidlem.","C: Na střechu vozidla, odkud bude zezadu dobře viditelný."
2268,06050330,Ve zvláštním motorovém vozidle nesmějí být přepravovány:,,C: Osoby mladší 15 let.,A: Osoby mladší 18 let.,B: Osoby starší 60 let.
2269,06050331,Strážník obecní policie :,,C: Je oprávněn zastavovat vozidla pouze ve stejnokroji obecní policie.,A: Je oprávněn k zastavování vozidel i v civilním oblečení.,B: Není oprávněn zastavovat vozidla ani ve stejnokroji obecní policie.
2270,06050332,Celník ve stejnokroji:,,B: Smí zastavovat vozidla.,A: Nesmí zastavovat vozidla.,C: Smí zastavovat vozidla pouze na hraničním přechodu.
2272,06050333,"Přečnívá-li za snížené viditelnosti náklad vozidlo vpředu nebo vzadu o více než 1 metr, musí být přečnívající konec nákladu:",,B: Označen vzadu červeným světlem a jinou než trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a jinou než trojúhelníkovou bílou odrazkou.,A: Označen červeným praporkem o rozměrech nejméně 30 x 30 cm a dále vzadu červeným světlem a vpředu neoslňujícím bílým světlem.,C: Označen vzadu červeným světlem a trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a trojúhelníkovou bílou odrazkou.
2273,06050334,"Přečnívá-li za nesnížené viditelnosti náklad vozidlo vpředu nebo vzadu o více než 1 metr, musí být přečnívající konec nákladu:",,A: Označen červeným praporkem o rozměrech nejméně 30 x 30 cm.,B: Označen vzadu červenou a vpředu bílou odrazkou jiného než trojúhelníkového tvaru.,C: Označen vzadu červenou a vpředu bílou odrazkou trojúhelníkového tvaru.
2274,06050484,"Přečnívá-li za nesnížené viditelnosti náklad z boku u motorového vozidla nebo jízdní soupravy vnější okraj obrysových světel o více než 40 cm, musí být přečnívající konec nákladu:",,A: Označen červeným praporkem o rozměrech nejméně 30 x 30 cm.,B: Označen vzadu červenou a vpředu bílou odrazkou jiného než trojúhelníkového tvaru.,C: Označen vzadu červenou a vpředu bílou odrazkou trojúhelníkového tvaru.
2275,06050313,"Přečnívá-li za snížené viditelnosti náklad z boku u motorového vozidla nebo jízdní soupravy vnější okraj obrysových světel o více než 40 cm, musí být přečnívající konec nákladu:",,B: Označen vzadu červeným světlem a jinou než trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a jinou než trojúhelníkovou bílou odrazkou.,A: Označen červeným praporkem o rozměrech nejméně 20 x 20 cm a dále vzadu červeným světlem a vpředu neoslňujícím bílým světlem.,C: Označen vzadu červeným světlem a trojúhelníkovou červenou odrazkou a vpředu neoslňujícím bílým světlem a trojúhelníkovou bílou odrazkou.
2276,06050314,"Zvláštním způsobem musí být označen náklad, který přečnívá vozidlo vpředu nebo vzadu:",,C: O více než 1 metr.,A: O více než 50 cm.,B: O více než 70 cm.
2277,06050315,"Zvláštním způsobem musí být označen náklad, který z boku u motorového vozidla nebo jízdní soupravy přečnívá:",,A: Vnější okraj obrysových světel o více než 40 cm.,B: Vnější obrys motorového vozidla nebo jízdní soupravy o více než 20 cm.,C: Vnější okraj obrysových světel o více než 20 cm.
2278,06050316,K měření rychlosti vozidel je oprávněna:,,A: Policie České republiky a obecní policie.,B: Policie České republiky.,"C: Policie České republiky, obecní policie a celní správa."
2279,06050317,"Náklad, který přečnívá vpředu nebo vzadu vozidlo, musí být zvláštním způsobem označen, pouze pokud takto přečnívá:",,B: O více než 100 cm.,A: O více než 75 cm.,C: O více než 125 cm.
2280,06050318,Nakládání či skládání nákladu na pozemní komunikaci:,,"A: Je dovoleno jen tehdy, nelze-li to provést mimo pozemní komunikaci.",B: Je zakázáno. Výjimku může udělit příslušný útvar Policie České republiky.,"C: Je dovoleno, s výjimkou skládání sypkých substrátů (např. písku)."
2281,06050319,Nakládání či skládání nákladu na pozemní komunikaci:,,A: Nesmí ohrozit bezpečnost provozu na pozemních komunikacích.,B: Nesmí omezit plynulost provozu na pozemních komunikacích.,C: Nesmí probíhat za snížené viditelnosti.
2282,06050320,Při nakládání nebo skládání nákladu na pozemní komunikaci:,,"A: Musí být náklad naložen nebo složen co nejrychleji a tak, aby nebyla ohrožena bezpečnost provozu na pozemních komunikacích.",B: Musí být osoby nakládající nebo skládající náklad oděny ve svrchní části oděvu z retroreflexního materiálu.,"C: Musí být přibrána způsobilá a náležitě poučená osoba, aby nebyla ohrožena bezpečnost provozu na pozemních komunikacích."
2283,06050321,Přepravované věci musí být ve vozidle umístěny:,,"A: Tak, aby neomezovaly a neohrožovaly řidiče nebo osoby přepravované ve vozidle a nebránily výhledu z místa řidiče.",B: Vždy v prostoru uzpůsobeném a určeném pro přepravu zavazadel.,"C: Tak, aby nemohly překážet v rychlém opuštění vozidla, například v případě dopravní nehody."
2284,06050322,Náklad musí být na vozidle umístěn a upevněn:,,"A: Tak, aby byla zajištěna stabilita a ovladatelnost vozidla a aby náklad neohrožoval bezpečnost provozu na pozemních komunikacích.","B: Tak, aby nepřečníval vozidlo vpředu, vzadu ani z boku.","C: Tak, aby v případě dopravní nehody nemohlo dojít k jeho poškození nebo zničení."
2286,06050324,Při přepravě nákladu nesmějí po straně z vozidla vyčnívat:,,"A: Předměty, které lze snadno přehlédnout, jako jsou například jednotlivé tyče nebo roury.",B: Žádné předměty.,"C: Žádné předměty, které nejsou viditelně označeny červeným praporkem o rozměrech nejméně 30 x 30 cm."
2288,06050311,Při přepravě živých zvířat:,,A: Nesmí být ohrožena bezpečnost přepravovaných zvířat.,B: Musí být vozidlo označeno zvláštním označením pro vozidla přepravující živá zvířata.,C: Musí být za jízdy na vozidle v chodu zvláštní výstražné světlo oranžové barvy.
2289,06050310,Za nesnížené viditelnosti při přepravě zemědělských produktů nemusí být zvláštním způsobem označen náklad přečnívající:,,A: Z boku vnější okraj obrysových světel o více než 40 cm.,B: Vozidlo vzadu o více než 1 metr.,C: Vozidlo vpředu o více než 1 metr.
2290,06050309,"Stanovené osvětlení, odrazky a registrační značka, rozpoznávací značka státu ani vyznačení nejvyšší povolené rychlosti:",,"A: Nesmějí být zakryty přepravovaným nákladem ani zařízeními sloužícími k jeho upevnění a ochraně (např. plachta, řetězy nebo lana).","B: Mohou být zakryty zařízeními sloužícími k upevnění a ochraně nákladu (např. plachta, řetězy nebo lana), nelze-li náklad jinak zajistit.","C: Mohou být zakryty nákladem, pokud je za jízdy na vozidle v chodu zvláštní výstražné světlo oranžové barvy."
2490,06050553,"Vyžadují-li provozní nebo jiné závažné důvody, aby osoby při vystupování z vozidla hromadné dopravy osob mimo zastávku nebo nastupování do něj mimo zastávku vstoupily do vozovky:",,B: Je dopravce oprávněn zastavovat ostatní vozidla.,A: Je dopravce povinen tuto skutečnost neprodleně oznámit policii nebo obecní policii.,C: Je cestující z vozidla hromadné dopravy osob starší 18 let oprávněn zastavovat ostatní vozidla.
2499,06050561,"Je-li překážkou provozu na pozemní komunikaci vozidlo, které provozovatel neodstranil, rozhodne o jeho odstranění:",,C: Policista nebo strážník obecní policie; vozidlo se odstraní na náklady jeho provozovatele.,A: Správce pozemní komunikace s předchozím souhlasem Policie České republiky; vozidlo se odstraní na náklady správce pozemní komunikace.,B: Správce pozemní komunikace; vozidlo se odstraní na náklady jeho provozovatele.
2502,06050564,"Při vlečení motorového vozidla na tyči musí být délka tyče taková, aby vzdálenost mezi vozidly nebyla:",,C: Menší než 1 m a větší než 6 m.,A: Menší než 1 m a větší než 5 m.,"B: Menší než 1,5 m a větší než 5 m."
2505,06050566,"Při řízení provozu na křižovatce policistou je řidič vozidla, pro kterého z pokynu policisty taková povinnost vyplývá, povinen zastavit vozidlo:",,A: Před hranicí křižovatky.,"B: Na takovém místě, kde bude mít dobrý výhled do křižovatky.","C: V křižovatce a v takové vzdálenosti od policisty, aby nebyla ohrožena jeho bezpečnost."
2515,06050576,V pěší zóně smí řidič jet rychlostí:,,B: Nejvýše 20 km/h.,A: Nejvýše 10 km/h.,C: Nejvýše 30 km/h.
2525,06050592,V obytné zóně řidič:,,"A: Nesmí stát jinde než na místech označených jako parkoviště, zastavit ale může i mimo parkoviště.",B: Nesmí zastavit a stát jinde než na místech označených jako parkoviště.,C: Nesmí mimo parkoviště ani zastavit vozidlo.
2526,06050590,V pěší zóně:,,"A: Nesmí řidič stát jinde než na místech označených jako parkoviště, zastavit ale může i mimo parkoviště.",B: Nesmí řidič zastavit a stát jinde než na místech označených jako parkoviště.,C: Nesmí řidič mimo parkoviště ani zastavit vozidlo.
2527,06050591,Hry dětí na pozemní komunikaci:,,A: Jsou dovoleny pouze v obytné zóně.,B: Jsou dovoleny v obytné a pěší zóně.,C: Jsou zakázány.
2528,06050593,V obytné zóně:,,A: Smějí chodci užívat pozemní komunikaci v celé její šířce.,"B: Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.","C: Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce."
2529,06050594,V pěší zóně:,,A: Smějí chodci užívat pozemní komunikaci v celé její šířce.,"B: Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, užijí levou krajnici či levý okraj vozovky.","C: Mohou chodci užít k chůzi pouze chodníku, a kde chodník není, mohou užít pozemní komunikaci v celé šířce."
2532,06050597,V obytné zóně smí řidič jet rychlostí:,,B: Nejvýše 20 km/h.,A: Nejvýše 50 km/h.,C: Nejvýše 30 km/h.
2534,06050602,Chodci v obytné zóně:,,A: Musí umožnit jízdu všem vozidlům.,B: Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.,C: Nemusí při užívání obytné zóny brát ohled na pohyb vozidel.
2535,06050599,Chodci v pěší zóně:,,A: Musí umožnit jízdu všem vozidlům.,B: Musí umožnit jízdu pouze vozidlům s právem přednostní jízdy.,C: Nemusí při užívání pěší zóny brát ohled na pohyb vozidel.
2538,06050603,Při jízdě v obytné zóně:,,"A: Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.","B: Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.",C: Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.
2539,06050604,Při jízdě v pěší zóně:,,"A: Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit, a v případě nutnosti musí zastavit vozidlo.","B: Musí řidič dbát zvýšené ohleduplnosti vůči chodcům, které nesmí ohrozit ani omezit.",C: Platí pro řidiče ve vztahu k chodcům stejná ustanovení jako na kterékoli jiné pozemní komunikaci.
2618,06060051,Svislé dopravní značky upravující přednost:,,B: Jsou podřízeny světelným signálům.,A: Jsou nadřazeny světelným signálům.,C: Jsou postaveny na roveň světelných signálů.
2632,06060061,"Řidič motorového vozidla, který je povinen užít přenosného výstražného trojúhelníku, jej musí umístit:",,"B: Na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný, a to ve vzdálenosti nejméně 50 m, na dálnici nejméně 100 m za vozidlem; v obci může být tato vzdálenost, vyžadují-li to okolnosti, kratší.","A: Na krajnici vozovky ve vzdálenosti nejméně 80 m, na dálnici a silnici I. třídy nejméně 130 m za vozidlem.","C: V libovolné vzdálenosti na okraj vozovky tak, aby byl pro přijíždějící řidiče včas a zřetelně viditelný."
2638,06060350,Pěší zóna je:,,"A: Oblast, jejíž začátek je označen dopravní značkou ""Pěší zóna"" a konec je označen dopravní značkou ""Konec pěší zóny"".","B: Oblast, jejíž začátek je označen dopravní značkou ""Stezka pro chodce"" a konec je označen dopravní značkou ""Konec stezky pro chodce"".","C: Každý chodník, oddělený od vozovky výškově nebo jinak, který jiní účastníci provozu než chodci nesmí použít."
2656,06060153,Při čerpání pohonných hmot mají přednost:,,A: Řidiči vozidel s právem přednostní jízdy; přitom nepoužívají zvláštních výstražných znamení.,B: Řidiči vozidel s právem přednostní jízdy; k upozornění ostatních řidičů však musejí použít zvláštních výstražných znamení.,"C: Řidiči vozidel hromadné dopravy osob, např. autobusů, a řidiči nákladních vozidel."
2657,06060151,V prostoru čerpací stanice pohonných hmot je zakázáno:,,A: Opravovat motor vozidla.,B: Opravovat elektrická zařízení na vozidle.,C: Opravovat jakoukoli součást vozidla.
2659,06060152,V prostoru čerpací stanice pohonných hmot je zakázáno:,,A: Seřizovat motor vozidla.,"B: Zdržovat se déle, než je nezbytně nutné.",C: Opravovat vozidlo.
