code,change_date,question,media,right_answer,first_wrong_answer,second_wrong_answer
[06040187],(26.04.2006),"Řidič, který při předjíždění motorového vozidla vybočuje ze směru své jízdy:",,Musí dávat znamení o změně směru jízdy.,Nemusí dávat znamení o změně směru jízdy.,"Dává znamení o změně směru jízdy jen tehdy, vyžaduje-li to bezpečnost provozu."
[06040223],(26.04.2006),Vozidlo vjíždějící na pozemní komunikaci:,,"Musí být předem očištěno tak, aby neznečišťovalo pozemní komunikaci.","Musí být v případě, že tak lze učinit bez větších obtíží, předem očištěno.",Musí být očištěno na nejbližším vhodném místě po vjetí na pozemní komunikaci.
[06040239],(26.04.2006),"Autobus s označením ""Označení autobusu přepravujícího děti"" zastavil v označené zastávce. Řidič vozidla, které jede za ním:",,Je povinen zastavit vozidlo za tímto autobusem a pokračovat v jízdě může až po odjezdu autobusu ze zastávky.,"Smí tento autobus objet, pokud při tom dbá zvýšené opatrnosti a přihlédne k možnosti vběhnutí dětí do vozovky.","Smí autobus objet, jen pokud mu dopravce dává znamení, že je možné autobus bezpečně objet."
[06040240],(26.04.2006),Na pozemní komunikaci objíždí vozidlo překážku. Musí jeho řidič dávat znamení o změně směru své jízdy?,,Ano.,Ne.,
[06040251],(26.04.2006),Po předjetí jiného vozidla máte v úmyslu se zařadit před toto vozidlo. Musíte dávat znamení o změně směru jízdy?,,Ano.,Ne.,
[06040255],(26.04.2006),"V tunelu došlo k poruše motorového vozidla, které se stalo nepojízdným. Jako řidič takového vozidla nesmíte:",,Kouřit nebo zacházet s otevřeným ohněm.,Opustit vozidlo.,Zastavovat jiná vozidla.
[06040259],(26.04.2006),"Svítí-li světlo signálu se žlutým světlem ""Pozor!"" na křižovatce přerušovaně:",,Nejde o křižovatku s provozem řízeným světelnými signály.,Znamená to pro řidiče povinnost neprodleně křižovatku opustit.,Je to signál pro řidiče k volnému průjezdu křižovatkou.
[06040268],(26.04.2006),Řidič nesmí překročit:,,"Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nejvyšší povolenou rychlost žádného z vozidel soupravy.","Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, nemusí brát zřetel na nejvyšší povolenou rychlost přípojného vozidla.","Nejvyšší povolenou rychlost vozidla, a jde-li o jízdní soupravu, musí  brát zřetel jen na nejvyšší povolenou rychlost přípojného vozidla."
[06040276],(26.04.2006),"Řidič vozidla, který nehodlá nebo nemůže projet podél tramvaje vpravo:",,"Musí za ní jet v takové vzdálenosti, aby umožnil projetí podél tramvaje ostatním řidičům.","Musí pokračovat v jízdě za tramvají až na takové místo, kde lze podél tramvaje projet vpravo.",Musí zastavit vozidlo a umožnit ostatním řidičům projetí podél tramvaje.
[06040277],(26.04.2006),"Řidič, který měl účast na dopravní nehodě, je povinen:",,Neprodleně zastavit vozidlo.,"Neprodleně zastavit vozidlo, jen pokud došlo ke zranění nebo usmrcení osob.","Neprodleně zastavit vozidlo, jen pokud došlo při této nehodě ke škodě na majetku převyšující částku 50 000 Kč nebo ke zranění nebo usmrcení osob."
[06040278],(26.04.2006),"Zapnutím výstražného světelného znamení dává řidič upozornění, pokud:",,Je nutné náhle snížit rychlost jízdy nebo zastavit vozidlo.,Řidič před vozidlem jede pomalu a zdržuje provoz na pozemních komunikacích.,"Předjíždí kolonu vozidel, která jej zpomaluje v jízdě."
[06040287],(26.04.2006),Řidič motorového vozidla smí dávat světelné výstražné znamení krátkým přerušovaným rozsvícením dálkových světel nebo přepínáním potkávacích a dálkových světel:,,Pouze k odvrácení hrozícího nebezpečí nebo k upozornění řidiče předjížděného vozidla.,Jen mimo obec při předjíždění k upozornění řidiče předjížděného vozidla.,Pokud chce upozornit ostatní řidiče na silniční kontrolu.
[06040297],(26.04.2006),Řidič při vyjíždění z kruhového objezdu:,,Je povinen dát znamení o změně směru jízdy vpravo.,Není povinen dát znamení o změně směru jízdy.,Je povinen upozornit ostatní účastníky provozu o svém úmyslu výstražným světelným znamením.
